cell_id,barcode,ypos,xpos,cell_size,ChAT,Fru,Gad1,SerT,sNPF,Tbh,TH,VGlut,clone_ID,rowsum
178,1100001000,2289,2260,1557,331932,631342,280891,563436,277840,573422,235672,545626,14,1
179,0000000000,967,2264,959,226273,430190,216711,420920,221762,526369,181992,463020,0,1
180,0000000000,1018,2267,1280,281349,628034,291273,627844,280745,634490,275958,636803,0,1
181,0000000000,2219,2264,821,167191,401576,321658,373732,169191,380311,161714,366648,0,1
182,2000101200,754,2270,1056,209285,559740,686584,468515,222429,481776,201024,501172,0,1
183,0000000000,940,2274,1148,287511,570877,230108,501781,264794,564272,226658,609892,0,1
184,0000000000,891,2263,636,131850,296844,133721,299080,135434,316975,127606,313929,0,1
185,0000000000,785,2268,827,173735,403058,643979,367657,175913,414283,161247,534524,0,1
186,0000000000,911,2276,534,146291,320240,104686,259576,134994,248902,106912,278640,0,1
187,0000000000,880,2285,640,148500,297424,132901,289709,143113,308470,130900,296975,0,1
188,0101001000,722,2293,1524,276910,693741,787051,658102,298878,664842,281527,685006,11,1
189,0000000000,2253,2295,1212,239399,620108,492195,522807,243740,553028,214549,515004,0,1
190,0000000000,2305,2293,762,98031,208534,92921,200828,92892,212480,89450,198994,0,1
191,0000000000,2196,2284,384,87607,279645,225012,198699,86593,209294,83930,188253,0,1
192,0000000000,2157,2316,1611,364523,850670,391548,831700,356360,837131,354279,832545,0,1
193,0000000000,630,2303,1730,263471,555292,269714,562548,278602,582041,272060,597265,0,1
194,0000000000,767,2301,1085,210121,462354,301948,478441,217493,484898,208884,517000,0,1
195,0000000000,973,2300,981,211946,477077,214793,467849,206686,470490,206205,501623,0,1
196,0000000000,2139,2300,795,184388,452860,180995,430011,180916,424911,180719,424206,0,1
197,0000000000,2282,2294,470,98951,344997,148317,191366,89693,204382,76427,182484,0,1
198,0000000000,910,2303,1105,261510,502188,220179,498422,233893,556248,220369,529646,0,1
199,0000000000,2192,2302,814,178955,685462,329082,403346,184667,394705,166643,397539,0,1
200,0000000000,2224,2312,750,173355,381277,231266,370919,165352,399009,155574,371990,0,1
201,0000000000,2281,2323,919,150524,484748,181732,318270,142952,320972,126647,303862,0,1
202,0000000000,717,2325,678,133356,410509,476059,315631,155795,322470,138089,344408,0,1
203,0000000000,2196,2331,1041,231283,548459,474836,501183,228509,527557,207093,493111,0,1
204,0000000000,2251,2327,700,135275,332654,153613,291472,127828,297551,119003,284993,0,1
205,0000000000,762,2329,748,148300,355738,160353,342014,151602,352568,148753,372160,0,1
206,0000000000,2231,2345,851,185988,398151,285042,383478,193542,565027,158309,370465,0,1
207,0000000000,993,2363,1753,370053,830819,368680,838144,371083,853024,362059,852597,0,1
208,0000000000,727,2362,1257,230608,528261,419731,503991,247490,516789,225720,523425,0,1
209,1111001000,2251,2366,953,183313,389707,142919,336437,144488,333459,132261,320994,0,1
210,0000000000,2216,2366,638,142337,317651,241235,305212,147679,398794,120567,285239,0,1
211,0101001000,2191,2362,609,212602,316905,195524,291427,149889,304166,116462,287707,11,1
212,2100001000,701,2375,966,164279,356180,598275,373568,186845,381982,167217,376060,9,1
213,1102001000,2213,2395,1098,200159,403249,165774,379635,172070,453003,152570,376334,0,1
214,0000000000,2252,2390,461,60219,131217,55541,124487,55481,124430,54186,124174,0,1
215,0000000000,716,2418,881,173215,489798,458158,371860,190920,394519,169174,401099,0,1
216,0000000000,1479,2435,1231,281034,683720,278350,654316,274593,669071,279415,648096,0,1
217,0000000000,1441,2432,806,194065,440394,189946,438058,194664,464068,193842,429513,0,1
218,0000000000,1414,2442,954,222620,532439,221261,524874,219553,527970,219377,516102,0,1
219,2101001001,709,2451,999,224854,580688,809098,414861,227690,449169,192193,438350,0,1
220,0000000000,1453,2459,868,195338,458579,194060,457093,194986,481224,193834,456518,0,1
221,0000000000,684,2489,693,123293,290495,289368,282155,147013,290104,128124,426432,0,1
222,0000000000,707,2508,1105,229702,496550,533110,486891,240768,512303,216826,1023376,0,1
223,0000000000,681,2517,656,105973,251829,137678,251719,116557,257741,107236,784928,0,1
224,1200001000,693,2563,1071,207506,477026,302216,455372,225005,470696,212199,559257,0,1
225,0100112101,1798,2561,1394,234586,548037,583243,564725,239444,567081,221029,545582,0,1
226,0120211201,1656,2576,2382,481712,1263528,1965504,1123567,557451,1383802,483044,1142917,0,1
227,0101001000,674,2599,1079,195561,581468,453482,425261,223514,446136,194156,499559,11,1
228,0100211201,1532,2628,2455,709119,1337857,2008559,1159422,618949,3138981,515792,1474626,0,1
229,0121211001,1565,2626,913,187965,434878,1152090,415513,220418,1449419,181748,1044487,0,1
230,2001212000,625,2644,1047,304569,531124,228496,427068,333395,469115,197892,1215271,0,1
231,0220012211,652,2637,657,173714,300334,271415,266452,918949,350935,163957,576112,2,1
232,0220012201,667,2649,1045,234524,436575,203538,424393,433923,500286,202653,526737,13,1
233,1101011100,1455,2647,1534,355999,799177,311243,729608,382160,2713221,319550,1812914,24,1
234,1111111111,1496,2648,816,292527,566258,192549,389525,200617,1459078,167780,484675,3,1
235,0000000000,1558,2663,1239,244131,503162,319293,477787,212593,741928,200404,512325,0,1
236,0000000000,1382,2672,1671,360447,807306,344359,801995,367929,951456,347393,1452315,0,1
237,0220012211,681,2676,1245,276646,480043,223594,482730,379147,517299,223150,537652,2,1
238,0000000000,1486,2679,1458,323762,641594,276557,627372,289653,3323813,274806,911285,0,1
239,0200012000,633,2677,774,164641,367971,166633,306911,701669,395123,169885,427247,0,1
240,0000000000,1241,2694,1779,352892,785188,348578,810592,352364,846517,347405,822870,0,1
241,0000000000,654,2688,468,109794,224747,80535,180378,571812,237936,105058,261833,0,1
242,0220012211,710,2703,1354,307895,605505,243469,539609,580275,608471,267380,580108,2,1
243,0000000000,628,2704,424,65485,155747,63329,134814,150487,151244,64979,175871,0,1
244,0220012211,653,2715,878,186895,371135,145341,319769,867541,336867,189321,384521,2,1
245,0220012201,677,2710,264,66594,101105,43660,101334,88974,104496,51249,122552,13,1
246,0000000000,691,2721,297,73738,126281,51066,125699,86586,127407,68330,131946,0,1
247,0000000000,1250,2734,1115,225483,510390,218911,516346,218344,523223,218139,506980,0,1
248,0220012211,626,2739,952,189426,392292,160397,359626,214193,413917,162523,600032,2,1
249,0220012211,672,2737,716,163165,288185,124985,283028,248337,313287,136139,338050,2,1
250,0220012200,706,2736,671,187084,291853,122117,282851,424036,296435,149054,282019,0,1
251,0000000000,732,2745,513,108535,217627,89919,205395,111291,251875,95283,217026,0,1
252,0000000000,647,2747,409,86609,177471,73645,162175,111686,168208,74538,567759,0,1
253,0220012211,688,2757,322,80534,157265,58240,137459,184784,175524,64612,142300,2,1
254,0220012211,714,2767,1084,249001,500688,195754,460035,264649,563182,212532,480934,2,1
255,0220012211,658,2771,750,173487,338458,129637,304830,223836,322748,139473,342762,2,1
256,0000000000,673,2761,242,60187,118344,45755,104891,188583,131440,56310,115082,0,1
257,2101001000,622,2780,955,172112,444662,537765,377898,216779,429473,173266,451761,33,1
258,0220012201,689,2789,1069,241061,529657,208529,459570,405415,564473,722370,522925,13,1
259,1111111111,641,2798,721,137723,396845,138871,301525,164714,343491,154230,341826,3,1
260,0000000000,2048,2791,1150,199286,478204,280720,494056,209075,500726,200114,478772,0,1
