cell_id,barcode,ypos,xpos,cell_size,ChAT,Fru,Gad1,SerT,sNPF,Tbh,TH,VGlut,clone_ID,rowsum
1,0000000000,557,9,382,53594,107888,50454,108325,54906,108260,50567,110150,0,1
2,0000000000,595,10,409,75684,131393,59312,128794,67150,126716,58795,128214,0,1
3,0000000000,1182,10,349,77188,126956,53162,126014,67974,129009,55562,133927,0,1
4,0000000000,1005,11,336,65950,131095,65685,141378,62832,135035,60400,141316,0,1
5,0000000000,1205,19,566,107040,185772,82310,183333,101800,197220,82881,205058,0,1
6,0000000000,1228,18,557,89048,160180,72451,163757,76792,163769,70623,171299,0,1
7,0000000000,154,16,445,61564,115672,53817,103698,57086,103766,53940,103079,0,1
8,0000000000,569,21,378,69437,128322,55091,126885,76543,130267,55922,744941,0,1
9,0000000000,1168,26,709,159323,342674,121826,273741,141040,303878,122498,333742,0,1
10,0102011000,173,27,657,118987,204648,89821,185173,98923,189257,90309,181229,0,1
11,0000000000,1023,30,675,132151,290280,123999,275876,125851,276763,123432,308055,0,1
12,0000000000,607,26,329,66454,123938,54406,122490,59862,125788,53036,118921,0,1
13,1111112201,1097,31,629,137759,243643,104874,237256,129069,274943,105458,255221,0,1
14,0000000000,1122,24,332,73016,130270,58435,135273,65747,139588,56872,139441,0,1
15,0000000000,201,32,577,106279,202824,85809,177884,96365,184076,86611,179659,0,1
16,0102111000,1156,41,634,147481,263298,106903,251630,131312,269393,109045,320885,0,1
17,0000000000,227,42,814,158262,276405,128509,274627,149358,281828,127129,262876,0,1
18,0102111101,577,39,636,137900,276398,108133,252435,128143,251246,108692,1218701,0,1
19,0000000000,1124,39,369,72291,152872,58572,142358,69800,172230,58759,151228,0,1
20,0000000000,1214,46,504,90188,177202,78914,183002,97509,198200,79143,552731,0,1
21,0000000000,1190,42,220,53676,86475,37239,90452,46085,93499,37352,201420,0,1
22,2102212021,1240,49,597,142995,229327,104231,233601,134375,236359,104923,694349,29,1
23,0000000000,529,51,679,159997,263602,125251,280644,139789,299614,122459,324099,0,1
24,0000000000,555,51,553,146340,213206,106596,233622,118045,237548,105425,394308,0,1
25,0102012201,183,51,564,117074,196047,81231,175910,90232,185448,83221,176799,13,1
26,0000000000,264,49,564,103208,192169,87246,185784,103582,198356,87865,186906,0,1
27,0222011021,440,53,576,104447,202214,91300,203578,100094,198257,90806,208453,0,1
28,0000000000,1121,53,392,88653,161794,73680,176117,81469,202016,77287,179994,0,1
