cell_id,Barcode,ChAT,fru,Gad1,SerT,sNPF,tbh,Ple,VGlut
521,1112202322,152338,1245,67211,212,688926,7975,117,46522
526,2120212020,25655,2897,3666,947,787263,1599,3573117,5684
527,0122011221,19074,2773,26,87,889598,470,1952,505
529,0122212201,24813,1203,3007533,286,712722,1419,492,2241
530,0122011221,15236,69281,0,188,1374672,167,101,33822
531,0100212101,167341,444,1296,1268,652318,6793,3813,29658
532,0122212201,1342,13,1008153,27,189785,281,272,265
534,0122011221,9518,2821,0,112,510092,203,7252,66
536,0122011221,47720,77121,0,83,813316,1139,71,815
538,2120211020,79090,100,141690,336,235285,1159,165,291253
539,2120212020,10270,331,1131,590,581121,750,2698599,21555
540,0122011221,80179,7359,0,129281,618148,941,89801,2623
542,0122212201,27210,301,2124001,964,523395,1174,716,836
544,0122011221,36787,21209,0,171,509783,467,7679,28785
545,0122011221,31465,2138,0,248506,422750,1764,129649,9570
546,0122011221,6188,65758,0,17,720977,508,168,9198
547,1000001001,71931,155,194973,535,188491,1094,445,42904
551,0122211121,192447,106,2150,676,998618,8634,87842,84601
552,1110111010,72820,191,66305,465,306173,1264,148941,96052
555,0122011221,25052,194,137,92,724645,646,53431,62
557,0122212201,76147,176,1653975,259,444757,701,281,5758
558,0122212201,108604,289,1639109,465,574193,1043,171,2210
560,0122011221,48426,83767,0,497,729620,244,19,298
562,2120001000,61637,92,1982757,1079,514150,1458,155259,24766
563,0122011221,134517,68673,15,104,1219883,721,0,1572
564,0122011221,89366,68591,16,83,1587870,1715,72,18920
566,0100001000,29993,779,260351,261,429599,1467,31,774473
573,2121212221,62894,19,39476,451,266338,399,1601,464578
578,0122011221,7351,66,0,67,281405,70,691,159
582,0122011221,49593,53077,377,6238,1138120,1066,1749,267
583,2220212100,73312,87,17393,191,333976,474,1816,15368
584,0122011221,126030,62210,0,187,1099852,551,0,1366
585,0122011221,67298,97618,0,92,1040964,457,144,19623
586,2120211020,23995,56,0,238,369333,574,803874,950
589,2101212200,26495,145,946,330,235214,20386,0,309705
590,0122011221,18474,211,0,87,224562,158,0,1666
592,0122011221,21888,43740,0,799,990096,1196,210,257
593,2120212020,165998,13112,249227,315,711309,1258,491,1306
597,0122212201,103800,308,1046458,1345,367397,2409,253,64871
600,2120212020,120952,699,430572,2371,630911,12960,317,25533
604,2101212200,95767,160,551,407,305414,3624,0,428832
608,0202012000,28835,311,0,102,466591,6318,0,171327
610,0122011221,27952,108888,101,191,926888,367,0,4768
613,0122011221,99009,589,0,212,377783,420,0,0
615,2120212020,169105,1742,21142,1620,530077,17418,4648,3504
622,0122212201,34765,2624,1012688,3288,676061,25974,523,412099
624,0122011221,62195,47084,28,55,1151661,192,0,2029
627,2120212020,204297,1460,127656,2787,1126587,6228,374,3920
628,1111111101,47438,0,0,0,123852,348,0,0
629,0122011221,32193,51815,0,89,671414,780,177,46
637,2120212020,134651,344,14546,212,416491,917,6256,770
639,0202012000,4,139,0,14,327713,19522,0,449163
643,0122212201,72089,116,218,1191,152907,1420,0,14264
647,0122212201,131988,78,277163,750,1789716,899,1414,2614
648,2120212020,209076,35269,23586,731,508360,4408,0,908
650,0122011221,30536,9858,0,1900,225413,1368,0,1300
656,0202011000,26588,34517,0,431,790239,21321,0,68716
662,0122011221,67496,59672,58,319,599059,349,332,4723
669,0122011221,37859,33146,0,284,1006217,262,154,246
670,1122001111,52821,310,0,91,125156,77,0,306
675,0202012000,21040,3337,0,1765,485374,47090,0,259882
684,1100211101,54115,527,1674,351,170323,381,187,1074
687,2000001000,226,23997,35,1307,362440,7584,0,844417
688,1111001000,29681,3172,16,31,80715,39,0,18
692,2120212020,177242,112764,11248,231,477842,439,0,254
694,2120212020,207449,174630,6890,139,512108,8009,0,435
695,1111111010,86997,55441,167,59,1097051,156,135,117
708,0202012000,10579,759,0,122,430148,18511,0,81140
709,1001001000,22,62250,0,1993,1310507,115690,1174,613808
712,0202012000,36265,1764,0,218,511492,959,0,492697
722,0122011221,130993,48733,1574,253,1046550,806,0,997
731,0000001000,7860,396,0,164,2993382,42165,7307,1021910
746,0202012000,18954,49,0,3,244116,2232,0,183210
760,2010011221,81545,7,0,48,127334,1276,0,14231
768,1111111011,32293,49547,298,219,639366,485,0,1003
774,0202012000,20241,1228,0,38,489148,18627,0,260536
784,0202012000,16976,2722,0,246,287509,276,0,132673
790,1111111111,47674,21482,0,79,538510,591,9,66
801,1111111100,43056,1512,74,192,820113,174,0,119
806,2000001000,1964,58243,0,75,428351,51871,0,959319
812,1111111100,71396,42980,289,54,762061,442,0,304
817,0022211201,57437,49251,0,0,722591,36,0,817
829,1111011101,824,1167,0,140,1470311,65191,532,551069
835,1111111100,48230,1744,0,110,863448,6298,0,30264
847,0100211101,95839,54,117,78,153112,273,11,6842
856,2001212001,108389,27171,46798,905,375706,10643,0,924
861,0222001000,137876,28162,3313,155,678255,46510,6,1090
864,1111111000,96811,8559,60,65,516414,249,0,497
865,1111111111,41006,4673,0,207,600107,471,21,226
866,1111111000,4825,1571,18,18,161656,80,0,0
872,2001212001,54574,195,595248,693,323333,5393,99,956
873,2120212020,165925,858,9171,324,319125,5356,0,451
879,1110111311,38641,41,0,5,220285,29245,0,195946
883,1111101000,76390,28230,122,218,1054712,292,637,105
896,1111111111,11380,76098,0,48,425621,209,0,53
899,1111011000,33216,601,17,157,661390,144,0,312
901,1111111000,44286,789,58,81,712897,141,0,100
906,1111111111,13150,10457,0,69,270537,256,0,44
909,0122011221,226706,13150,807,99,1718098,23270,475,292
914,0022211201,34180,98161,144,94,1201818,111,0,62
917,2121212001,168987,862,5042,2515,346670,1184,41,587
922,1111111000,81579,6216,460,125,808613,224,47,23
923,2120001221,53865,5335,2192,291,260367,249,0,72228
926,0022211201,69977,87730,0,13,1623407,764,11,352
929,1111111111,77910,322,65,110,974064,74,207,21
939,0000001000,221650,2627,6385,102,403396,191,0,7882
941,0022211201,101724,39750,0,1194,890805,373,0,26001
949,0022211201,37453,181459,0,106,1823674,301,26,54
952,2110111111,23771,10,0,1,309957,6555,0,213761
953,1111111000,97027,47853,3,68,1094133,192,0,30
954,0022211201,36179,70475,0,110,950292,4386,0,196
955,0020201000,33039,19560,12,11400,780434,5716,0,111189
957,1111111000,14956,133,0,0,432992,0,0,74
959,0122212201,45781,113,8860,130,208026,7112,13,47111
960,0022211201,54801,110945,0,11,1335724,160,0,19
964,2001212001,288961,32260,4175,446,425801,12155,0,58010
965,2001212001,148237,13827,106943,196,380066,1757,13,1418
972,1110001000,97396,106042,117,205,1309781,109,124,72
981,0022211201,72370,131625,0,63,1394428,1075,0,199
983,0022211201,33595,30427,0,32,393937,91,0,25
984,0022211201,49877,48655,6870,84,1335645,153,0,34026
986,1110111100,61071,843,0,36,1044251,320,45,20
989,1111111201,37604,25118,0,0,434301,13,0,16
991,0022211201,107518,130489,0,102,1630937,174,312,1978
992,2110111111,4749,1893,0,63,567614,511,0,2004658
994,1111111110,43635,39277,2,149,873839,4076,20,57
995,1111111010,9088,0,15,0,132645,562,0,188678
997,0022211201,133661,91848,74,752,1547852,1081,3,277
1004,2001212001,56071,3266,318792,169,218122,163,0,163
1007,0111111000,65433,64033,38,415,1266603,174,588,829
1008,1111111101,39352,798,0,9,426770,97,237,0
1011,2001212001,353624,147865,644,431,471591,2014,0,4259
1013,1111111100,58928,6926,16,80,648092,399,203,92
1015,0022211201,27418,62986,0,28,1055091,303,0,970
1016,0022211201,32978,39969,0,120,1057398,208,0,43
1017,2111111000,189842,71365,0,242,414587,85,0,50947
1021,1111101110,63422,25276,616,78,813706,205,19,57
1022,0022211201,140775,154401,9,75,1494398,116,0,280
1025,1111111100,44604,4383,7,124,320089,0,0,177
1028,2001212001,37806,15,249015,273,203018,50,0,240
1029,0022211201,112712,72866,0,346,2151886,356,85,405
1036,2122211021,14361,315,0,6673,238746,276,7904,794163
1038,1122211021,11163,818,0,10037,465426,541,6293,1356086
1039,2001212001,263420,267401,989,540,513087,527,48,64838
1041,1111111111,92185,171686,348,725,1533572,874,28,125
1050,0022211201,56633,101724,1,264,1402210,299,21,109
1052,2001212001,275099,21976,1117,385,384517,8784,0,136
1055,0022211201,95896,103475,97,74,1602001,34,0,11448
1061,1112111221,69519,27087,0,58,1108818,227,0,132001
1065,1000001000,117872,5207,5784,255,355391,230067,0,493170
1066,0100001000,108796,22778,793263,1024,600558,13774,14,341
1067,2001212001,497178,128689,1769,354,617368,1860,0,707
1068,1111111100,89199,78448,0,207,1640937,461,7,102
1070,1112101000,46572,2725,41,323,798265,933,0,576
1075,1111111111,16904,3118,0,63,471352,308,67,132
1077,1111111000,72478,184098,60,311,1629279,158,0,35
1082,2111111111,712,13,0,0,96175,179,0,173038
1083,1111111100,30071,5121,92,74,671779,424,0,1293
1084,1111101000,118034,1143,0,2756,574615,379,42969,187934
1087,0120001000,259949,871,305457,333,404661,16787,68,62
1089,1111111101,245328,14834,301,399,354514,620,0,12287
1090,1111111000,57495,93600,17,215,1244401,383,76,177
1091,0022211201,42430,56545,0,0,489414,160,0,121
1097,2001212001,141072,626,93,847,477636,5092,0,1116
1102,0022211201,4953,13229,175,197,299943,108,0,86
1103,0022211201,45329,56472,0,25,568377,46,26,4
1104,0022211201,53447,93421,0,74,1254152,258,0,406
1105,1111111110,269265,29425,127,364,434728,411,0,26
1106,0000001000,175986,405,0,320,207480,368,0,220
1107,1111212222,721,0,0,0,69279,48,0,455604
1110,0100001000,95083,130,643040,5,483225,30881,0,8806
1112,1112111211,28023,4607,9464,750,680587,1215,2160,1769541
1114,1111111000,31536,15768,0,106,531822,39,0,225
1115,2111111000,94321,0,0,2,368330,89,0,13753
1117,1111111100,149969,23499,0,29,473548,399,0,334
1118,2120201000,132233,90,2615,160,192712,6868,0,30
1122,1111111021,7714,71,22,2,317671,4279,0,553483
1123,0120001000,160830,847,255252,176,249624,4179,0,689
1124,0022211201,67123,64990,0,0,702229,78,3,0
1125,0110001000,159237,289,424210,425,492832,131,31,366
1127,1111101000,72315,78890,90,182,1000213,1006,11,265
1131,2001212001,174220,9817,6,111,1282731,4428,0,48
1134,1111101000,90260,14290,25,49,513117,498,75,1162
1135,0022211201,113393,174178,38,136,1812331,758,64,207
1138,1111011000,19942,1701,0,30,467274,223,0,185
1142,0022211201,44543,64280,0,248,1458220,214,0,12
1143,1011101000,6709,6323,0,77,433423,4376,14,571562
1144,0110001000,153050,106,138,69,633104,2379,0,58
1147,0022211201,11474,20666,0,110,454065,460,0,6476
1151,2001212001,258461,15186,404,55,503384,690,121,223
1153,0110001000,131175,147,1418493,91,423198,18259,6,602
1155,1111001110,117918,95615,369,75,1172394,92,120,832
1157,0022211201,37607,18854,107,343,487891,546,0,240
1162,1101111001,71811,2498,0,35,188427,151,0,9535
1167,2212211101,79795,3469,2830,61,354814,68,0,152779
1169,0022211201,10304,42539,0,317,599895,412,0,141
1181,1111111000,71050,14293,0,50,671678,310,0,241
1183,2001212001,223176,94766,217,236,297948,411,89,727
1184,0110001000,202347,586,1183,363,395177,530,36,126
1192,0022211201,68585,65776,0,210,1355051,600,17,57
1195,2001212001,202092,15668,468,26,265884,823,0,4
1198,0120001000,126128,68,275,0,208390,1765,0,90
1199,0022211201,63080,54721,0,28,375706,31,0,7506
1200,2212211101,111261,4434,1135,9,363035,435,71,95
1204,1111111121,19811,108,0,162,330963,3218,0,370830
1205,2001212001,345354,12931,749,78,762340,619,143,35
1206,0022211201,177329,21417,90,204,1045812,1831,0,170
1207,1111111121,97754,91,0,276,642376,6632,0,564536
1212,0022211201,65067,75738,17,386,1237299,644,0,188
1215,1111111120,92315,5352,0,19,278723,329,0,20444
1216,0120001000,145623,9772,22119,504,381027,290,51,198
1222,1111111010,60418,8021,0,160,481407,303,0,11066
1223,0100001000,272855,1014,21196,281,428909,823,0,591
1225,1111111000,263,1537,65598,289,201620,552,0,334405
1226,0010001000,236672,2391,1903,392,409994,9139,0,377
1228,0022211201,37021,36608,61,120,807656,57,0,23323
1229,1111111202,7646,3632,0,0,347473,224,0,109000
1230,1102112211,40539,6550,0,0,521937,257,89,337
1231,0120001000,235311,284,81,480,466265,500,0,566
1237,1111111102,9741,298,0,5,525975,46,0,102
1238,1111111000,57745,177,0,204,1054404,16193,0,238295
1239,0022211201,17519,2821,0,70,231344,185,0,15
1240,2011212001,129246,1492,63,57,282959,416,0,20
1243,2101212001,207719,98,245,243,340365,287,0,7
1244,1111111000,23514,2683,0,0,554313,15,0,6
1250,2202212021,411011,27266,1881,386,705883,14731,0,551
1252,1111111111,64778,2553,0,54,903806,90,0,246
1256,0022211201,68866,107079,0,143,806197,391,0,217
1257,1101111121,28263,11446,0,105,732464,879,0,23070
1258,1110101000,40056,3624,0,0,114731,147,0,186728
1262,1221111011,90906,66,302841,45,403082,3271,52,110148
1266,1111101010,56247,38461,85,62,916260,276,0,83
1267,0111211220,110773,136,146,240,403981,13529,0,39507
1269,1122112211,20486,46,0,47,230400,16772,0,135
1272,0022211201,2068,957,0,64,200928,160,0,69
1275,0000001000,172039,87,113,89,420824,6166,0,14
1276,0111211221,45697,12542,351,77,474710,652,0,1444
1279,1122012211,70802,718,263,53,377374,467,0,1422
1281,0000001000,143227,69,1100,227,184014,275,28,202
1285,0120001000,197793,1267,456,176,577321,6341,0,162
1288,2121011111,36185,99,894668,1,155237,752,42,37605
1289,0022211201,17990,67,0,0,213325,4,0,14
1291,0100001000,139914,58,1011,120,213537,5977,0,58
1292,1111111131,34901,3122,0,45,553317,40,0,12
1296,2001212001,181615,95,335,26,235681,66,0,29
1305,0022211201,35429,1929,0,205,345315,400,0,4
1306,1101111121,124131,0,0,170,443129,5168,0,1260
1307,0110001000,292436,600,361,243,557998,401,87,149
1310,2001212001,325245,31755,172,229,422714,17427,0,12384
1313,0000001000,104017,1605,0,279,339648,941,0,32
1319,1111111111,2670,2455,867407,19,606365,2542,893,332322
1321,2011212001,157815,86,619,149,997501,2941,557,70
1322,2111111110,31787,737,1369223,35,753890,13480,2051,100431
1323,1111111111,45420,10813,79,200,631926,2267,83,762150
1325,0100001000,114435,0,73,224,446283,2543,0,13
1331,1111111101,504799,36,111,261,1850475,13371,113,33
1334,1111212001,265906,18796,65,54,327676,1143,0,50
1339,1101111121,36280,238,6722,1230,262797,41,0,1702
1342,1111111101,59,2165,1897964,9,1742945,695,1830,107985
1343,0101111000,138375,12475,148,461,1412899,2278,540,364074
1347,2001212001,166484,26337,315,10,1135517,4780,42,84
1361,2212211101,77585,78,0,529,438719,259889,0,584
1369,1111211101,295023,126,411,186,557369,2244,182,252
1372,1111001000,40363,42,0,114,367007,3775,0,236104
1374,0120011200,84008,89,128,140,508415,14521,158,107
1379,1122111211,5604,5470,52391,120,139526,224,0,9600
1381,1101111120,73250,4917,0,259,370651,797,0,315
1384,0022211201,125632,20159,0,1134,631379,521,0,336
1386,0110001000,155265,105,0,32,517429,9742,0,192
1391,0000001000,300304,1873,38,159,724535,4521,41,234
1392,1111111111,32863,8759,976,179,495273,365,0,419556
1393,1212211101,223680,2932,0,840,837284,21090,70,198
1396,1111111111,11898,16,16,20,57389,71,10415,343622
1400,0000001000,150259,28,0,80,345429,6870,0,58
1403,1101111121,73510,694,0,132,513513,696,0,101
1406,2212211101,21206,89,134536,343,340587,214,0,10847
1410,1111111111,2158,0,0,0,220240,28,0,106080
1418,1111111100,6051,51,0,16,155522,220,5778,139353
1419,1111111111,136250,931,45,265,448522,940,0,617917
1420,2212211101,280842,9435,112,205,1049974,6620,0,1309
1422,2111111101,10522,0,729063,56,206704,8214,62,11550
1433,2212211101,258878,5051,596,469,1148654,523,0,4218
1434,1101111121,134075,1659,64309,23,250162,76,0,46
1435,0022211201,113442,73,699,68,304057,938,0,1367
1439,1111111000,58513,100,365,88,395933,698,0,428854
1440,1122111101,20864,444,150794,449,193284,367,0,33
1442,1111111000,9770,5381,518525,103,356599,1545,50,108163
1445,1111111100,68380,90,23,80,466142,387,0,257655
1454,0110111000,306824,592,183,4540,503994,381,60,211030
1455,2212211101,212054,19,0,152,2219582,13927,217,25809
1458,2111001000,59500,1106,1291765,31,246858,20445,218,56663
1461,2110011000,886,1729,837746,0,591366,36,705,24032
1465,1111111313,33601,1208,2342362,309,1244232,3373,1354,54142
1472,0000001000,64032,73,29016,338,381400,751,0,8823
1473,2212211101,179609,11835,0,191,370870,226,0,103
1477,1101111121,36229,5904,0,353,289224,115,0,16872
1479,1111111111,238867,1460,111,24,390305,8631,0,51292
1486,0001211001,87582,18,84408,9,542608,357,0,6817
1494,0111111111,312802,5399,287,719,1129470,85446,14,61762
1495,1111111000,142928,19627,5,94,126386,177,0,37
1497,1122212221,310196,125,82,110,343459,396,0,258
1499,2212211101,1493,0,0,0,360058,38,0,113540
1506,0110001000,137345,121,425,45,449505,11081,8,455
1508,0110001000,29712,6,0,82,231340,311,6651,44
1509,1111011100,130401,50,16,98,218003,1283,0,55983
1512,1110111111,167093,134,0,58,401701,5472,0,951
1513,1111111111,256484,140,44,271,778035,3939,0,401841
1515,1111111000,20207,40,388399,19,288027,397,19,616173
1516,1101111121,18587,111,0,318,400341,2274,0,105
1520,2212211101,41645,49,0,106,417022,1185,0,41754
1522,1111111111,3311,353,241538,125,233620,555,0,476818
