cell_id,barcode,ypos,xpos,cell_size,ChAT,Fru,Gad1,SerT,sNPF,Tbh,TH,VGlut,clone_ID,rowsum
794,0000000000,1285,1282,914,361810,213380,357641,212447,480910,219917,375749,214050,0,1
795,0000000000,1644,1280,484,267508,116211,153897,120692,415100,110234,445528,106491,0,1
796,0000000000,1956,1281,569,278242,129105,171712,120345,587581,145279,194606,215306,0,1
797,0000000000,1108,1286,920,380377,224768,382656,222798,510578,228924,395789,221453,0,1
798,0000000000,737,1287,497,261427,122545,353757,115777,466336,121844,198458,125868,0,1
799,0000000000,1880,1284,942,659937,243100,308777,213703,927169,216160,339161,238246,0,1
800,2122111100,714,1284,716,317821,164408,1702219,160204,1727058,213894,321502,204832,15,1
801,0000000000,1811,1285,531,227564,130980,171799,257304,627334,118374,191674,119501,0,1
802,0000000000,1789,1286,520,245473,119491,162286,377271,726213,124434,183654,113745,0,1
803,0000000000,1408,1288,687,267907,150376,259284,153920,465303,157163,264063,322848,0,1
804,0000000000,835,1293,840,325676,196156,330311,199461,393464,202474,341256,197554,0,1
805,0000000000,923,1291,591,240801,157146,240007,147684,328640,151077,248524,147766,0,1
806,0000000000,1566,1288,879,483127,240509,301092,193956,1008463,206450,438994,201645,0,1
807,0000000000,1936,1290,484,162345,101497,144835,103064,369160,102853,148776,115498,0,1
808,1111111101,1983,1292,858,562249,192409,285870,189060,856276,225823,306288,247018,8,1
809,0000000000,623,1294,456,221634,95878,259635,93725,371606,97435,149202,101759,0,1
810,1111111100,1620,1290,613,294366,158616,223554,158198,689039,143843,3067599,146188,3,1
811,1121012220,1744,1299,850,515559,210387,271887,184386,938720,203347,313109,181426,0,1
812,0000000000,603,1294,496,216650,101816,614411,99992,406578,107064,158691,108931,0,1
813,1111111100,1352,1298,1207,791255,332113,442182,276364,1345877,295178,499867,264625,3,1
814,0000000000,651,1300,620,296524,137489,681281,130373,495272,147076,218765,184256,0,1
815,0000000000,403,1302,812,326498,167338,377332,165340,653490,173323,267901,735108,0,1
816,0000000000,455,1300,842,307148,184134,1036334,178453,609914,195541,304416,329493,0,1
817,0000000000,522,1301,668,216299,140397,337924,141431,535363,171634,233977,564547,0,1
818,0000000000,1683,1300,584,296520,130469,199141,131437,608156,156915,256476,129589,0,1
819,0000000000,1772,1300,568,368114,141811,179251,312341,628579,130713,202422,120552,0,1
820,1111112111,1704,1313,1286,681692,285763,426399,284708,1243619,331939,549429,277824,11,1
821,0000000000,569,1298,247,89315,51838,403757,52724,182544,66046,89681,57892,0,1
822,0000000000,1652,1307,449,217558,102017,158708,107832,585974,105340,550602,109024,0,1
823,0000000000,496,1305,518,160081,106786,282520,107591,422497,111344,161850,598123,0,1
824,1111111111,1825,1308,857,517022,222269,293204,503937,1061441,218484,319605,214264,1,1
825,0000000000,477,1305,310,134961,76461,478930,64631,300919,67392,111557,202749,0,1
826,0000000000,686,1308,699,283582,173501,1620356,151483,1615954,207177,296752,186071,0,1
827,0000000000,2080,1311,919,421887,355490,283562,199031,1011832,207487,336511,204706,0,1
828,0000000000,960,1310,618,238829,148681,244507,145921,276920,144849,248152,142831,0,1
829,0000000000,550,1310,652,292018,140745,1121137,137159,534474,214119,223242,187067,0,1
830,0000000000,1956,1307,452,203530,103307,135370,95519,475508,98657,153821,109741,0,1
831,0000000000,428,1315,876,336011,196881,328031,183262,631534,189866,278295,669713,0,1
832,0000000000,592,1311,383,179419,90271,740720,85377,302096,90002,154729,100682,0,1
833,0000000000,1667,1315,568,289651,116792,181816,126490,1713977,129362,416441,131020,0,1
834,0000000000,1635,1313,521,196991,125808,189366,122556,319706,122097,356194,126432,0,1
835,0000000000,1894,1312,736,323584,171153,261637,168133,587868,206107,286370,179581,0,1
836,0000000000,1095,1316,697,275944,173514,276562,163688,395358,173297,273209,163184,0,1
837,0000000000,2053,1319,905,569995,229432,287091,200603,925788,202472,327860,202129,0,1
838,1111111100,1799,1321,817,368667,192077,305157,2596641,942726,220519,328434,219674,3,1
839,0000000000,1859,1318,1024,519351,240892,350789,270620,932160,251170,376976,277321,0,1
840,0000000000,1931,1317,797,301993,193961,253505,163839,730611,173508,275828,174722,0,1
841,0000000000,978,1314,327,129827,86078,135423,78089,169255,75826,137720,76767,0,1
842,0000000000,1259,1315,935,419736,240596,384808,231537,505539,232313,409831,228071,0,1
843,0000000000,927,1313,477,195113,123876,199715,112188,255793,114609,208978,111434,0,1
844,1101111111,1728,1326,929,476029,226148,322688,204358,1181622,322384,381042,197833,7,1
845,0000000000,574,1322,612,267525,126451,893500,128228,458655,143193,206848,193352,0,1
846,0000000000,619,1321,625,355259,161065,772333,147922,670207,156899,261664,153277,0,1
847,0000000000,1980,1318,418,137311,84923,114625,82895,323027,101354,121192,116197,0,1
848,0000000000,711,1325,1128,396243,263448,436574,253694,571526,256312,407365,262204,0,1
849,0000000000,2018,1325,824,472634,205564,286046,181681,940052,197276,316550,191447,0,1
850,0000000000,668,1324,592,247545,127682,498084,123329,605332,133742,217603,140436,0,1
851,1111111000,1291,1330,1014,610504,298003,375104,238350,810349,249586,405051,236264,4,1
852,0000001112,640,1325,501,231162,115744,1431261,114173,972906,127851,213954,119207,23,1
853,0000000000,1321,1322,510,204505,125803,194870,117629,270930,118867,201397,119153,0,1
854,0000000000,1757,1323,198,90196,60247,70377,43258,267923,57266,69972,47546,0,1
855,0000000000,527,1322,257,71723,52840,172677,49179,141563,50745,70510,107144,0,1
856,0000000000,1118,1330,687,283062,180825,283614,165402,341785,166846,295486,166129,0,1
857,1111111111,1775,1330,709,343517,165221,246422,180504,962407,176302,267194,155164,1,1
858,0000000000,1915,1340,1066,416758,235315,362752,229049,829306,238820,375621,241478,0,1
859,0000000000,505,1327,505,190484,118134,889318,112353,542871,120156,205494,672542,0,1
860,1111111001,464,1337,1837,768732,494439,808685,407366,1864572,539899,683122,2773362,21,1
861,0000000000,1960,1329,474,285641,112891,154974,101334,493943,105045,165632,114470,0,1
862,0000000000,1068,1331,519,227701,140983,264763,137954,295150,137368,244935,141549,0,1
863,0000000000,1605,1336,777,341324,179002,305787,185296,461996,187745,339227,211449,0,1
864,0000000000,910,1339,733,298313,166730,294515,171039,332463,176278,300497,174314,0,1
