,cell_id,Barcode,ChAT,fru,Gad1,SerT,sNPF,tbh,Ple,VGlut,x,y,umap_1,umap_2,clust_label,clone_id
2,41,2010011221,32181,802,170048,4,287953,11384,0,149023,39.047,145.04,-3.1062531000000004,3.2952998,0,2
3,43,2010011221,64339,103,52446,32,142172,828,14159,21459,38.691,1102.3,-1.7055044999999998,4.743432,0,2
22,135,2200211200,101616,244,831,270,339706,670,56,490,283.84,1187.1,1.399817,4.4175167,1,9
23,146,2010012221,29097,89,1995,110,286774,446,120,116781,308.82,1088.0,-3.9382699,3.594158,0,3
26,153,2200211200,12565,1,0,19,241207,3659,0,255,325.6,1291.8,-2.395633,5.6822715,1,9
27,166,2200211200,253143,4512,1362,401,487443,6838,49,1185,341.49,1197.2,5.6398589999999995,1.9690895,1,9
30,170,2010012221,37064,1253,17860,833,370170,14243,0,300207,350.19,1055.7,-3.4527657,1.2838454,1,3
31,171,2010012221,73344,9970,2406,412,325832,506,14,475648,345.25,1072.7,-3.531509,0.7034906,-1,3
35,186,2010012221,120077,33831,1441,240,364783,892,0,538291,364.08,1081.1,-2.802293,0.8039599000000001,1,3
36,187,2200211200,139070,11,37,179,676563,2616,45,554,360.19,1255.3,3.39664,2.967532,1,9
46,208,2120212020,78289,0,179,38,233473,228,0,833,395.51,1287.2,-0.53689593,4.645975,1,15
47,209,2120212020,108363,1004,74,347,497948,1069,4738,1426,397.17,1207.3,2.1952849999999997,4.956621,2,15
48,213,2010011221,81124,1942,1180,192,257256,13937,0,445,408.23,1016.9,1.6784929,3.4025483,1,2
50,216,122011221,78462,131172,796,394,1926609,622,2435,1708,411.3,1376.1,6.8206773,-2.8823185000000002,1,20
51,219,2200211200,168052,473,98,185,2338546,1506,4296,2876,416.66,1321.2,5.6652949999999995,-2.1956432,1,9
55,225,2120212020,110623,161,313,285,410039,8673,213,6510,415.78,1346.7,2.0790656000000003,3.5188648999999996,1,15
56,228,2120212020,230977,0,268,49,361828,2892,29182,1802,415.79,1219.8,5.6867730000000005,2.95528,1,15
60,239,2120212020,140466,10564,20,755,673717,5480,0,24269,440.59,1366.3,3.5444989999999996,2.530728,1,15
61,241,122011221,32342,9059,17,101,249750,112,0,800,437.32,1415.2,-1.2193954,6.629377000000001,1,20
65,250,2200211200,235754,133,592,331,331636,1336,288,2333,448.85,1181.4,5.6912937,3.0337112,1,9
66,251,2120212020,54791,5400,502,156,423060,6131,0,1082,447.08,1259.2,0.6300772,5.8951970000000005,1,15
67,252,2200211200,106948,246,555,225,4024643,191,13930,5489,451.09,1325.1,6.920637599999999,-2.9617436,1,9
68,253,2010012221,35108,8,13263,171,489151,3507,108,319409,457.17,1096.1,-3.5974839999999997,1.2901508,0,3
69,255,122011221,150326,3225,30,101,540119,1327,0,1008,454.94,1395.0,3.3193252,3.3412235,1,20
70,259,2120212020,95477,56,236,212,398044,3031,27,5724,462.96,1359.9,1.5009567,4.692636,1,15
71,260,122011221,40065,6124,338,1557,574598,1728,0,768,463.25,1423.9,1.1369505,6.818455,1,20
75,270,2200211200,133656,17796,5951,16783,592357,27741,24152,5930,479.8,1194.7,3.1620833999999998,1.9259268,1,9
77,273,122011221,100390,1184,157,618,369144,10534,24,793,479.23,1378.7,1.9890854,3.4358175,1,20
78,276,122011221,30869,6821,317,146,391080,313,0,202,477.82,1471.2,-0.7271653,7.086578,1,20
81,280,122011221,52441,15967,24,75,369313,426,17,305,483.9,1446.8,0.93009776,6.3756010000000005,1,20
85,288,122011221,70448,86723,0,9,845164,264,386,238,493.39,1498.1,5.072217,-2.0053542,1,20
86,293,122011221,65711,8944,111,426,1212024,4151,508,381,502.17,1470.8,3.5731835,-1.1096697,1,20
87,297,2120212020,50443,54,0,243,441643,706,0,233586,516.94,1298.2,-3.1451907,2.5068232999999998,1,15
89,301,122011221,30939,59495,1311,212,1120167,392,3563,2803,514.52,1515.5,4.7807426,-1.9553026000000002,1,20
90,303,122011221,65629,11454,0,209,836950,388,0,474,519.15,1451.3,2.5778096,-0.37207967,1,20
91,304,122011221,26857,18136,81,119,504512,546,309,188,516.34,1493.7,1.2967107,7.324845,1,20
92,308,122011221,55078,2869,30,291,733048,17266,0,72513,522.0,1425.9,2.5420852000000003,2.139775,1,20
93,316,122011221,19676,1024,0,143,532629,776,74,1419,530.71,1467.6,-0.19649339999999998,7.383534399999999,2,20
95,320,122011221,38929,11804,75,50,880704,1299,17,149,542.84,1496.7,2.7030618,-0.53595823,1,20
96,322,122011221,7099,5257,4,57,534331,1428,0,180,542.89,1476.4,-0.038030196,7.447037,1,20
98,324,122011221,40557,432,333,42,684449,601,0,77964,545.09,1436.7,1.0589708999999998,7.463153,1,20
99,326,2120212020,91793,114,742,268,302764,14083,27,154704,546.12,1323.4,-2.3510014999999997,2.8625045,1,15
101,328,122011221,72486,63592,147,325,1201420,587,1452,5646,552.34,1521.5,5.206044,-2.1148522,1,20
102,331,122011221,17215,37294,0,211,688713,206,352,1228,556.11,1552.0,2.912785,-0.88276476,1,20
103,332,122011221,49645,65,0,147,874788,352,0,19491,558.71,1452.3,1.9995888,7.531006,1,20
104,339,122212201,14077,435,2889577,678,655409,2811,1908,111064,564.69,1086.7,-8.927777,-4.705209,3,16
105,342,122011221,17691,29,13,46,602556,246,994,177,564.83,1481.0,0.006379134,7.418541,2,20
106,343,122011221,68040,4092,0,228,757285,27634,22,135719,563.51,1406.1,2.6798005000000003,2.0805637999999997,1,20
108,347,122011221,38008,11374,0,47,702495,1184,0,465,568.11,1503.3,1.8470908,7.420064,1,20
110,353,122011221,10610,13,4,149,377951,230,0,2190,574.62,1461.7,-1.4101148000000001,7.012633999999999,1,20
111,354,122011221,53155,331,51,247,690760,1314,100,21235,577.08,1429.0,1.2843216999999998,6.9071565,2,20
