cell_id,barcode,ypos,xpos,cell_size,ChAT,Fru,Gad1,SerT,sNPF,Tbh,TH,VGlut,clone_ID,rowsum
356,0000000000,1674,1178,384,5361,0,0,0,36533,2937,0,11820,0,1
357,0000000000,1964,1186,574,0,24,0,14,193,0,0,0,0,1
358,0000000000,2705,1184,488,6969,44,4367,0,67878,0,0,23606,0,1
359,0000000000,1890,1188,641,0,0,0,0,6,0,2021,937,0,1
360,2120211121,2787,1188,389,23886,0,0,0,85209,0,0,33658,18,1
361,0000000000,2756,1182,133,0,0,4528,0,16848,2791,0,43483,0,1
362,0000000000,2770,1182,147,0,0,11110,0,27416,5658,0,21718,0,1
363,2120211121,2806,1190,588,20581,0,0,0,78601,0,0,12,18,1
364,0000000000,1705,1186,250,0,31,0,0,0,0,0,22773,0,1
365,0000000000,1800,1193,649,0,11,0,0,10750,0,0,245227,0,1
366,2110211111,1766,1193,427,11386,2541,0,0,5115,0,0,680,24,1
367,0000000000,2728,1185,166,11735,0,0,0,26480,2594,0,54915,0,1
368,1111111000,1042,1196,771,182882,2322,0,0,156445,2012,0,2745,5,1
369,0000000000,1643,1192,340,13524,0,0,0,53119,0,0,1028,0,1
370,0000000000,1659,1197,446,1290,0,0,0,191664,4587,0,84737,0,1
371,2110012220,1623,1200,740,19691,0,0,0,79722,7382,12,34446,0,1
372,0000000000,1685,1197,599,23725,0,0,0,20108,27,0,11120,0,1
373,0000000000,1364,1201,1138,9756,6211,10286,3953,26979,3118,8485,6484,0,1
374,0000000000,1858,1199,622,0,12975,0,6,391,0,0,8393,0,1
375,0000000000,1593,1195,203,315,0,0,0,3374,0,0,2140,0,1
376,0000000000,1836,1193,226,80,0,0,0,476,0,0,0,0,1
377,0000000000,1920,1202,755,0,3728,0,0,5300,0,0,65421,0,1
378,0000000000,2841,1203,751,0,0,0,0,35683,0,0,30962,0,1
379,0000000000,2872,1204,816,12277,13316,0,0,422905,3941,96,187939,0,1
380,0000000000,2766,1197,315,4424,0,6733,0,64829,2006,0,99389,0,1
381,0000000000,1540,1199,427,1495,155,0,98,4889,141,0,132,0,1
382,0000000000,1564,1198,284,1842,0,26345,0,4927,0,0,15608,0,1
383,0000000000,2739,1200,468,22,58,523,0,58779,0,0,179145,0,1
384,0000000000,1608,1201,183,7457,9,804,0,3856,21,0,514,0,1
385,0000000000,2902,1203,457,17587,0,0,0,174507,21585,0,78037,0,1
386,0000000000,1725,1209,684,0,73,0,0,43,18,0,1891,0,1
387,0000000000,1081,1211,1051,0,6,0,0,5854,0,0,2023,0,1
388,1111111101,1580,1206,374,1805,284,0,0,76732,0,0,132325,17,1
389,0000000000,1753,1206,426,0,0,0,0,0,0,0,1176,0,1
390,0000000000,1518,1204,280,20273,0,0,0,7268,0,0,53,0,1
391,0000000000,2707,1201,264,0,0,7066,0,12681,0,0,9135,0,1
392,0000000000,2816,1213,534,2699,0,0,0,3180,0,0,0,0,1
393,0000000000,1883,1212,587,0,0,0,0,2,0,0,2941,0,1
394,0000000000,2717,1212,359,0,0,28456,0,40464,0,0,20466,0,1
395,0000000000,2786,1209,341,116421,0,0,0,134528,4793,0,453,0,1
