cell_id,barcode,ypos,xpos,cell_size,ChAT,Fru,Gad1,SerT,sNPF,Tbh,TH,VGlut,clone_ID,rowsum
184,0000000000,971,830,416,65893,15394,0,15,70985,2802,24858,0,0,1
185,0000000000,1390,832,566,111,0,0,0,155367,0,0,69820,0,1
186,0000000000,953,835,540,14854,3450,2130,0,10870,4035,267746,0,0,1
187,0122011201,1291,837,531,30011,184,0,0,138197,0,0,1234,1,1
188,0122011201,1368,844,825,33970,6969,0,0,279564,129,0,166372,1,1
189,0122011201,1245,837,593,23679,59864,0,0,855655,0,0,0,1,1
190,0000000000,1219,840,682,28883,67990,0,0,824058,39,0,0,0,1
191,0000000000,996,840,425,0,0,0,0,24,0,0,0,0,1
192,0000000000,1340,844,559,5752,201,0,0,465247,1,0,113619,0,1
193,1111111000,856,850,938,56970,11389,0,0,186720,142,0,45,0,1
194,0000000000,888,850,633,29682,319,0,0,24019,54,91943,12099,0,1
195,0000000000,939,850,478,43,55,67106,0,17293,0,196176,4054,0,1
196,0122011201,1312,848,536,21666,102,0,0,341225,0,0,57813,1,1
197,1110211211,910,860,1033,0,2967,0,0,138083,125,86191,366471,2,1
198,0000000000,1266,848,282,5325,7325,0,0,70428,0,0,796,0,1
199,0000000000,962,853,121,4997,14,688,0,10155,0,5481,0,0,1
200,1101111001,1396,868,1046,16223,13300,0,0,558182,0,0,1025745,0,1
201,0000000000,1241,862,293,6296,5151,0,0,156967,26,21,0,0,1
202,0122011201,1293,864,369,4037,16685,0,0,187104,0,0,21,1,1
203,0000000000,1253,864,177,3772,22907,0,0,261243,0,6,0,0,1
204,0122011201,1331,865,376,2883,159,0,0,307384,83,0,2995,1,1
205,0000000000,964,867,355,1674,398,0,0,74119,74,83532,43,0,1
206,0000000000,1275,872,540,4406,10318,0,0,419456,0,0,0,0,1
207,1111111110,1257,873,255,24230,42604,0,0,258926,1113,0,0,0,1
208,0122011201,1310,865,168,1246,5624,0,0,89767,0,0,44,1,1
209,1111111100,863,883,1064,62288,2181,0,38,138658,0,239867,0,0,1
210,0000000000,938,872,380,0,0,0,0,18167,0,407877,8752,0,1
211,1111111111,1357,882,675,58701,49,0,0,2540093,2943,266,30,3,1
