,cell_id,barcode,ypos,xpos,cell_size,ChAT,Fru,Gad1,SerT,sNPF,Tbh,TH,VGlut,clone_id,clust_label,umap_1,umap_2
2539,2540,22211201,2407,1523,349,10693,0,0,0,134748,0,0,0,2,1,2.6952178,0.46946958
2545,2546,2001212001,1651,1525,634,125671,2,0,0,113258,0,0,0,17,0,3.862178,5.493926
2546,2547,120001000,1742,1523,275,101391,0,16,19,143496,4062,0,0,5,0,3.0512075,7.8692546
2566,2567,22211201,2422,1536,483,16414,824,0,26,237182,0,0,0,2,1,2.4802518,0.53736436
2571,2572,2001212001,1575,1539,679,257240,16546,0,0,258275,10552,0,8483,17,0,3.0132363,7.919421
2574,2575,1101111121,2689,1537,592,88452,0,0,0,303691,824,0,76,11,0,3.2913709,3.9172068
2597,2598,121001000,1665,1543,652,75757,0,0,0,289150,374,0,0,6,0,3.0446603,2.8847368
2613,2614,1101111121,2801,1546,521,33938,46,1764,310,168753,0,0,63,11,1,3.2948189,1.1636047
2630,2631,2001212001,1601,1551,646,111120,19809,0,0,978876,2815,0,0,17,4,-2.9222422,2.6633627
2647,2648,2212211101,2608,1561,626,59188,0,0,0,309160,223912,0,81,27,6,4.856577,-4.923471
2658,2659,1111211111,1770,1565,605,201474,51,0,0,377013,1100,1,32,15,0,3.336476,7.614374
2678,2679,22211201,2319,1572,566,99191,15619,0,82,513884,13,0,11,2,0,1.2531111,3.1019464
2711,2712,2212211101,2669,1578,565,11123,0,106794,0,209953,0,0,2758,27,1,2.8261414,0.17120741
2728,2729,2212211101,2540,1582,818,213590,7108,0,0,768345,926,0,65,27,0,3.032437,6.3425384
2745,2746,2212211101,2509,1589,822,203183,2594,0,123,956506,190,0,1835,27,0,2.9423945,6.3081136
2751,2752,1101111121,2823,1587,591,104073,843,30733,0,123783,0,0,0,11,0,3.9038303,5.2299795
2753,2754,22211201,1993,1583,579,66569,0,53,0,173640,43,0,0,2,3,3.6474032,2.3638868
2782,2783,2212211101,2567,1600,742,171115,0,0,0,2024323,9426,100,8212,27,4,-6.1310964,2.6341794
2804,2805,2212211101,2453,1604,739,119147,7820,0,0,206966,0,0,0,27,0,3.702908,4.4862576
2808,2809,2212211101,2595,1606,746,27940,0,0,1301,2656647,4,176,22476,27,4,-7.354299,2.1223361
2810,2811,1101111121,2690,1604,512,23387,3878,0,0,177297,0,0,5516,11,1,2.554492,0.71395415
2841,2842,2212211101,2527,1613,492,178,0,0,0,261309,0,0,78780,27,2,6.1820946,-0.8479903
2862,2863,1101111121,2871,1617,525,5597,0,154145,0,5601,0,0,0,11,1,3.9093056,-0.6471887
2874,2875,2212211101,2641,1619,388,26852,0,0,0,355405,1081,0,37755,27,4,-0.47991228,0.23554489
2891,2892,2212211101,2578,1628,620,131,0,0,0,257710,0,0,231265,27,2,7.2790694,-2.4424665
2904,2905,2212211101,2611,1632,824,51424,58,0,0,463194,0,0,8582,27,1,2.1504712,0.9729732
2914,2915,2202211201,1756,1630,459,13720,0,0,0,98584,25,0,0,26,1,3.73612,0.10697058
2916,2917,2212211101,2501,1635,489,20629,536,0,0,106765,0,0,5078,27,1,3.716561,0.21842794
2967,2968,22211201,1961,1648,459,117903,0,0,0,137600,0,0,0,2,0,3.6287766,6.4417157
2980,2981,2212211101,2589,1652,516,1269,0,0,0,299839,4,0,94279,27,2,6.2313275,-0.9193746
2986,2987,2212211101,2532,1653,418,6814,98,0,0,119762,13,1404,119934,27,2,6.9246993,-1.8077382
3003,3004,2212211101,2490,1659,591,48015,0,0,0,340522,4,0,9944,27,1,2.3291204,1.2053179
3018,3019,2212211101,2608,1664,506,52753,0,0,0,970402,0,0,61959,27,4,-3.2705255,1.8777057
3025,3026,2212211101,2573,1665,477,16888,0,0,0,222274,0,0,120653,27,2,6.5563884,-1.2984186
3029,3030,2212211101,2520,1669,581,28146,23,0,0,236067,0,41842,914,27,1,2.6042655,0.5528692
3030,3031,1101111121,2639,1662,466,2703,108,0,0,143862,0,15832,58521,11,2,5.6517987,-0.53029513
3051,3052,2202211201,1978,1676,665,266721,4478,0,0,297136,1240,0,10919,26,0,3.124264,7.9288335
3059,3060,2001212001,1467,1677,801,62765,1082,126019,0,419276,6008,0,0,17,1,2.5413635,1.5147201
3078,3079,2212211101,2477,1688,667,52527,0,0,0,950348,645,0,947,27,4,-1.738951,1.8154327
3089,3090,2212211101,2453,1684,661,77449,4,0,454,292598,63,0,2179,27,0,3.071629,2.8947954
3162,3163,2202211201,1954,1709,835,248123,4168,0,0,335745,106,0,374966,26,2,7.186285,-1.2517985
3168,3169,120001000,1458,1707,704,82511,85,3636,0,473910,24099,1,11493,5,0,2.402407,2.488754
3197,3198,2212211101,2470,1712,501,62171,37,0,0,459630,0,0,0,27,0,1.4101645,2.5230544
3212,3213,1101111121,2707,1714,470,58219,0,180628,0,176334,0,0,0,11,3,3.5711353,2.0680218
3247,3248,2110212001,2614,1729,631,117856,0,0,0,459438,52,0,12153,23,0,3.1592743,4.4925065
3262,3263,120001000,1437,1734,621,132024,0,119610,0,400056,10179,0,21691,5,0,3.0316644,5.2540164
3265,3266,2212211101,2497,1733,844,49930,0,0,0,458772,4760,0,172961,27,2,6.3196692,-0.96435255
3269,3270,2212211101,2572,1736,611,23390,0,0,0,1081826,0,0,9904,27,4,-2.9216104,1.6036221
3281,3282,2212211101,2461,1739,766,139083,0,0,7,414422,1700,0,4932,27,0,3.4101818,4.5202107
3311,3312,2202211201,1526,1750,762,35838,5379,0,0,71382,4559,3043,39803,26,1,4.553257,0.021952964
3332,3333,2202211201,1608,1753,567,131925,102,0,0,93367,0,0,0,26,0,3.8183641,6.0301094
3340,3341,2202211201,1633,1756,547,109596,0,0,0,204319,2,0,0,26,0,3.7395835,5.5510015
3344,3345,2212211101,2447,1758,426,40300,4055,0,2,616453,0,0,0,27,4,-1.8947732,2.0061874
3345,3346,2110212001,2630,1758,721,178198,1262,0,0,311530,25016,1704,56209,23,0,2.9178808,5.685284
3365,3366,2202211201,1567,1764,517,106084,0,0,0,104053,373,0,750,26,0,3.8323984,5.576018
3373,3374,2212211101,2379,1772,855,163071,988,0,151,262126,23,0,14768,27,0,3.778148,5.3067756
3384,3385,2202211201,2014,1769,569,153957,9505,0,1,568483,0,0,2139,26,0,2.9733548,6.4065595
3385,3386,2212211101,2427,1771,713,107018,39,0,730,239972,32,0,73,27,0,3.761225,4.245274
3389,3390,2202211201,1461,1773,739,248135,29,0,0,312423,32069,0,205,26,0,3.020799,7.5177603
3403,3404,2212211101,2515,1777,685,110343,0,0,185226,299892,4779,0,94114,27,8,2.3234348,3.8508859
3413,3414,2202211201,1479,1786,763,51225,0,0,0,172098,5950,0,467,26,1,3.2708294,1.4704136
3438,3439,2110212001,2695,1784,487,58931,6078,0,0,337983,3807,0,0,23,0,1.652128,2.6054513
3443,3444,2202211201,1419,1789,429,71457,0,24449,0,129430,1257,0,0,26,0,3.857741,4.8591924
3446,3447,2212211101,2349,1791,912,105721,186041,0,305,358804,149,0,40357,27,4,-6.3583593,2.541209
3454,3455,2110212001,2637,1792,506,41452,0,0,0,209046,0,0,76,23,1,3.1128178,1.4981028
3455,3456,2110212001,2667,1793,719,124587,11661,0,0,396968,51,0,11,23,0,3.0185018,4.448906
3473,3474,2212211101,2412,1801,852,198335,7354,0,9631,260178,3220,0,2601,27,0,3.4607112,5.943088
3484,3485,2110212001,2800,1802,565,21486,531,928,13,201989,0,0,84,23,1,2.7803605,0.548044
3491,3492,2110212001,2612,1804,872,62461,4624,0,0,340244,313,0,14,23,1,2.529395,1.2198766
3500,3501,2212211101,2392,1809,489,106388,5384,0,12942,259631,0,77,6317,27,0,2.8524542,4.776169
3503,3504,2110212001,2538,1802,345,176829,63,837,0,173309,0,85,42143,23,0,3.0073133,8.038158
3508,3509,2110212001,2721,1811,648,31341,0,0,0,479843,3083,0,0,23,1,1.3689706,0.9213063
3531,3532,2110111111,2838,1813,633,137941,8558,6354,0,183675,0,0,4359,22,0,3.5425532,5.9116983
3555,3556,2202211201,1470,1824,423,71052,0,44611,0,76281,0,0,0,26,0,3.9636137,5.075248
3562,3563,2212211101,2601,1828,635,20002,0,0,0,167799,9494,0,0,27,1,2.846366,1.3201636
3575,3576,2110212001,2698,1832,457,213180,13748,0,0,276083,0,0,0,23,0,2.9086475,8.032819
3591,3592,2110212001,2674,1833,474,89478,0,0,0,244057,0,0,0,23,0,3.4423208,4.6678658
3607,3608,2110212001,2714,1835,322,54527,0,0,0,142378,0,0,0,23,0,3.6219423,4.601324
3612,3613,2212211101,2404,1839,445,35277,0,66547,2581,96236,0,0,9710,27,1,3.4888575,1.3015363
3615,3616,2202211201,1567,1845,828,52959,0,0,1345,190964,20301,96,218609,26,2,6.932349,-1.3092326
3626,3627,2110212001,2491,1850,1362,44132,0,0,85,135777,24,0,15847,23,1,3.89076,0.075674236
3630,3631,2212211101,2586,1849,560,58876,764,0,0,129944,129,0,0,27,3,3.7281284,2.3282707
3643,3644,1111211111,1486,1853,442,42141,4682,117497,0,105628,0,0,3,15,1,3.3862278,1.6028315
3656,3657,2202211201,1534,1855,497,81659,5067,0,0,114437,1238,0,12784,26,0,3.755185,4.77276
3663,3664,2110212001,2667,1856,579,140834,0,0,0,301851,26150,0,4,23,0,2.808903,5.70764
3682,3683,2110212001,2434,1869,888,214404,133,225353,775,290086,3288,0,50,23,0,3.6591637,5.9571614
3683,3684,2110212001,2640,1868,737,107270,2623,4084,0,277010,6940,0,7714,23,0,3.0961318,3.682543
3690,3691,2202211201,1580,1869,555,53141,138,0,3624,149522,3266,0,153448,26,2,7.036683,-1.1767597
3697,3698,2110212001,2403,1876,953,94640,479,2208115,3283,462754,954,0,43,23,5,4.3146906,-2.359209
3699,3700,2212211101,2602,1870,634,29418,25,0,0,255891,6559,0,14,27,1,2.7499208,1.3319345
3731,3732,2202211201,1557,1888,860,85262,43,0,0,239875,5600,0,244699,26,2,6.966313,-1.2938949
3756,3757,2212211101,2608,1896,723,88225,12549,0,0,612581,11778,0,0,27,0,1.5970141,2.7311852
3775,3776,2110212001,2433,1906,667,198533,0,0,9,459012,0,0,0,23,0,3.4478037,6.943511
3791,3792,2212211101,2591,1913,696,123141,170262,0,0,715499,0,0,0,27,4,-8.443194,2.3391352
3801,3802,2212211101,2545,1920,814,38252,0,0,0,454981,0,5389,147263,27,2,6.145887,-0.8322024
3804,3805,2202211201,1984,1922,545,0,5717,0,209232,715979,3,3,270500,26,8,2.3296843,3.8145676
3807,3808,2212211101,2455,1923,685,149037,65,0,18,332007,130,0,96635,27,0,3.6359155,5.089244
3817,3818,2212211101,2482,1931,953,192938,329,0,6110,293239,3093,0,84374,27,0,3.5813658,5.107499
3824,3825,2110111111,2798,1927,723,98023,0,0,0,353657,4402,0,8760,22,0,3.0299342,3.3396287
3831,3832,2222211021,1204,1934,639,0,155,941451,0,212794,103,0,9819,29,5,4.5040965,-2.3830342
3837,3838,2222211021,1233,1937,687,12652,3140,242387,0,324980,20,0,278720,29,2,7.2727466,-2.4522536
3851,3852,2110111111,2637,1941,914,100440,0,0,0,854945,128779,4986,50073,22,0,2.619696,5.535769
3859,3860,2212211101,2536,1944,689,75802,0,0,4,223565,342,0,14367,27,3,3.6041875,2.240758
3868,3869,2110111111,2887,1943,431,11782,1869,0,0,186806,346,0,0,22,1,2.6034691,0.4563686
3882,3883,1111201000,2067,1955,804,119768,94,33911,28133,322419,653,0,56749,14,8,2.5824568,3.7321634
3885,3886,2222211021,1195,1955,508,77,0,892787,0,192435,6616,1376,85305,29,5,5.2284203,-2.4940212
3890,3891,2222211021,1163,1961,729,36344,0,117149,0,278238,783,0,746729,29,2,8.565211,-3.5831587
3897,3898,1111201000,2199,1965,698,80571,6387,0,0,317209,0,0,0,14,0,2.6128037,2.8421614
3898,3899,2212211101,2552,1964,641,78611,30,0,0,201502,20,0,30199,27,3,3.8235776,2.4486444
3901,3902,1111201000,2090,1968,655,130912,754,39114,0,224768,37,0,24591,14,0,3.6433368,5.198902
3910,3911,2110111111,2911,1961,316,72258,0,0,0,150868,0,0,0,22,0,3.5237806,5.981427
3925,3926,2110111111,2927,1973,325,95759,0,0,0,208321,0,0,0,22,0,3.4447231,6.976582
3929,3930,2110111111,2646,1977,983,8510,17026,0,0,462567,483738,380857,555780,22,6,4.798211,-4.8488646
3937,3938,2222211021,1270,1981,457,42485,0,0,0,84843,0,0,224543,29,2,7.768413,-2.6528478
3946,3947,2212211101,2544,1988,723,75199,156,0,10,579888,16126,0,69,27,0,2.066267,2.5797937
3968,3969,2222211021,1194,2002,661,8485,10426,116097,0,169234,0,0,619906,29,2,8.511573,-3.5304594
3972,3973,1111201000,2212,2005,700,30637,488,0,0,807668,3,0,0,14,4,-0.99227613,1.245549
3974,3975,2222211021,1267,2008,808,5224,2446,175414,0,172430,0,6047,426354,29,2,7.783248,-3.1121976
3977,3978,2110111111,2635,2008,825,96553,904,214,0,461713,14604,10608,60285,22,0,2.4631076,2.2579546
3978,3979,2222211021,1127,2007,450,42,4128,899852,0,198996,861,0,16135,29,5,4.646856,-2.7777166
3979,3980,2110111111,2390,2014,1146,387271,1837,0,23,383195,14347,10,108154,22,0,3.2966688,7.5688434
3980,3981,2110111111,2583,2007,664,82125,14,0,0,370452,9,0,0,22,0,2.804506,2.9316795
3986,3987,2212211101,2153,2013,669,8013,0,0,0,237559,0,0,154839,27,2,6.540178,-1.3839542
3993,3994,2222211021,1163,2019,670,39165,0,13828,0,185525,0,0,499074,29,2,8.398991,-3.4305882
3994,3995,2222211021,1221,2017,480,27935,0,25406,0,167270,4035,0,241499,29,2,7.839137,-2.8559554
3997,3998,2110111111,2606,2021,822,126990,0,903,0,436314,0,487968,0,22,1,0.60954374,0.5230133
4013,4014,2222211021,1198,2028,528,0,262,607733,0,171245,230,0,189352,29,2,6.630783,-2.5373974
4015,4016,2222211021,1107,2030,628,4908,0,584758,0,160034,1175,0,18672,29,5,4.449525,-1.7127135
4018,4019,1111201000,2141,2038,1217,199755,275,0,0,542849,1,0,13848,14,0,3.6375856,4.4755597
4019,4020,2222211021,1287,2037,900,35941,144,0,0,105563,3483,12405,304466,29,2,7.016374,-1.7528939
4024,4025,122211221,3223,2042,938,91177,29212,0,0,426523,12,352,0,8,0,1.4478421,2.4397879
4025,4026,2222211021,1346,2045,1187,60409,38,0,0,121074,1228,0,564209,29,2,7.7521286,-2.8144958
4042,4043,2222211021,1110,2049,454,31693,174,72456,0,126055,0,0,143072,29,2,6.9227295,-1.6322355
4044,4045,122211221,3192,2057,1077,81715,36438,0,0,638615,143,0,18524,8,7,-0.5309184,1.9115298
4053,4054,2222211021,1125,2063,547,24173,0,197857,0,180923,10,0,215862,29,2,7.1915264,-2.2062547
4054,4055,2222211021,1295,2062,985,98228,962,38,0,173036,0,2258,170004,29,1,5.1036124,-0.18857262
4064,4065,2222211021,1153,2069,462,47631,0,212273,0,138652,3396,0,149679,29,2,6.8973966,-1.373713
4069,4070,2222011001,3051,2080,899,13972,28398,0,0,1150530,201,0,104794,28,4,-2.9656253,1.4955112
4073,4074,2110111111,2512,2075,429,121848,0,1028,0,148191,199392,0,0,22,6,4.8247533,-4.9019985
4076,4077,2110111111,2627,2077,565,0,236,195678,1,145386,32,39028,20965,22,1,3.018981,-0.055615902
4081,4082,2222211021,1223,2085,643,2844,33,9522,0,86815,824,0,293714,29,2,7.741789,-2.9361806
4083,4084,122211221,3229,2079,656,33955,0,0,0,348196,201,0,0,8,1,2.305216,0.8165685
4089,4090,2222211021,1138,2087,640,18128,0,507409,0,141970,0,0,59792,29,5,4.37435,-1.402286
4093,4094,2222211021,1309,2089,717,21345,3178,98394,0,76831,1160,0,309132,29,2,7.660761,-2.7098486
4099,4100,2222211021,1199,2091,490,37231,16,21474,0,104123,1765,2652,386285,29,2,8.424143,-3.4567583
4100,4101,2222211021,1281,2091,684,31290,0,421670,0,92942,0,0,123983,29,2,5.4145594,-0.48776677
4104,4105,2110111111,2404,2099,1020,60655,3706,1757522,0,432577,0,0,2,22,5,4.3224216,-2.1986063
4109,4110,122211221,3273,2094,978,99905,4,0,0,702836,0,30,542,8,0,1.7277461,2.39321
4116,4117,2110111111,2591,2103,390,86999,9,75914,0,143327,0,0,2924,22,0,3.714238,5.6789827
4120,4121,2222011001,3004,2107,315,1648,1,0,0,274989,0,0,1875,28,4,-0.12959825,0.56595606
4123,4124,2222211021,1214,2115,779,160,18,2517049,0,207714,2710,0,154582,29,5,5.174992,-3.2705975
4133,4134,2222011001,3067,2113,532,25480,3677,0,0,382466,9735,1014,376360,28,2,8.419835,-3.4569588
4139,4140,2222211021,1186,2125,919,21786,0,199415,0,292535,0,0,695359,29,2,8.406147,-3.444038
4140,4141,2222211021,1283,2116,617,0,4985,1298470,0,147673,0,0,29563,29,5,4.5773544,-2.8113775
4147,4148,2222211021,1095,2123,615,264791,3767,74782,0,373094,2748,0,119908,29,0,3.1680095,7.7537975
4155,4156,2222011001,3078,2135,835,46907,101876,0,0,1630039,0,7,21738,28,4,-7.3824997,2.1771247
4160,4161,2110111111,2483,2139,879,238218,309,0,0,316869,5988,0,8927,22,0,3.6834495,6.6485677
4163,4164,2222211021,1251,2137,778,0,126,1041171,86,217606,2802,0,119811,29,5,5.2268643,-2.3799553
4165,4166,2222211021,1316,2139,667,0,29,901822,0,88870,536,21,5320,29,5,4.478517,-2.2078404
4174,4175,2222211021,1213,2144,652,0,4389,1332599,0,211598,0,0,10264,29,5,4.569179,-2.771696
4194,4195,2222011001,3060,2161,593,20255,27568,0,0,902079,0,228,2,28,4,-4.2916327,2.0823996
4199,4200,2222211021,1301,2164,765,0,6,1610659,0,137852,13,0,2031,29,5,4.6021357,-2.8376863
4200,4201,2222011001,3084,2157,295,37346,23304,0,0,592318,3,0,2297,28,4,-6.3245316,2.4919097
4204,4205,2222011001,3106,2164,589,20904,37,0,0,919349,25,0,97507,28,4,-2.9432907,1.4948165
4206,4207,2222011001,2918,2164,578,38931,3204,0,0,479490,0,0,127425,28,2,6.306853,-0.9417198
4207,4208,2222011001,3036,2168,614,25586,36969,0,0,967041,0,0,0,28,4,-4.9312267,2.1056328
4208,4209,2222211021,1269,2169,773,1101,10,1691631,0,196413,0,79,7585,29,5,4.6814504,-2.9454281
4215,4216,2222211021,1223,2175,679,43,1177,564915,13,78609,5981,0,10964,29,5,4.5000124,-1.748338
4226,4227,2222011001,3084,2181,749,36842,65687,0,0,1143451,0,0,1585,28,4,-5.9367137,2.0690331
4229,4230,1111112111,3450,2186,771,595,2810,75,66,298376,130,130,526010,13,2,8.299887,-3.349739
4243,4244,2222211021,1242,2197,650,6503,0,12225,0,49116,0,0,162396,29,2,6.8262024,-1.7231344
4244,4245,2222211021,1293,2196,949,31055,0,1602441,0,188625,7328,0,374099,29,2,6.4106073,-2.6111748
4249,4250,2222011001,3157,2197,1056,70945,61753,0,0,1509365,0,0,12290,28,4,-4.2172084,2.213647
4253,4254,2222011001,3130,2197,467,25514,3700,0,0,540919,10782,0,215903,28,2,7.6419444,-2.571946
4255,4256,2222011001,3036,2192,316,39156,2161,0,0,132825,0,0,0,28,0,2.941877,3.0113728
4256,4257,2222211021,1267,2197,516,11801,4016,29635,0,125166,5948,0,114386,29,2,6.617195,-1.207444
4260,4261,2222011001,3014,2201,689,82597,3533,0,0,692861,0,0,0,28,0,1.2249273,2.6411
4261,4262,2222011001,3068,2202,608,44943,30351,0,0,701887,95,0,0,28,4,-3.3141716,2.1767612
4266,4267,2222011001,2888,2205,666,107814,53249,0,0,749210,0,0,7763,28,4,-3.0606327,2.6882806
4281,4282,2222011001,3102,2213,567,37313,62,0,0,1027154,7,21,3901,28,4,-3.310985,1.8995284
4286,4287,2222011001,2959,2217,579,2322,32,0,0,261647,8,0,5,28,1,2.76322,0.20702404
4291,4292,2222011001,3135,2226,842,28468,5750,0,0,679614,0,0,0,28,4,-0.16103092,0.9511372
4296,4297,1121011201,2628,2225,546,172501,0,0,365374,143934,7,0,219,16,8,2.3647785,3.8835435
4297,4298,2222011001,3084,2230,643,22424,15763,0,0,674581,47,0,144,28,4,-2.0669172,1.4547867
4298,4299,2222011001,3160,2232,681,92332,58538,0,0,1124112,2561,0,0,28,4,-6.2330155,2.5440013
4313,4314,1121011201,2654,2235,483,58143,370,0,15208,55301,9776,0,25,16,8,2.6848576,3.7404594
4325,4326,2222011001,3039,2251,681,9393,19483,0,0,829838,0,0,13719,28,4,-2.8709247,1.4802501
4327,4328,2222011001,3099,2253,708,43968,75547,0,0,1226087,24,0,3914,28,4,-6.894682,2.1589608
4339,4340,1121011201,2525,2258,526,35064,0,0,0,225553,0,4944,66518,16,1,5.0139003,-0.1303616
4342,4343,2222011001,3128,2266,796,18869,39804,0,0,1372924,50,110,0,28,4,-4.959199,2.0980136
4345,4346,22211201,2596,2262,363,3439,0,0,2828,29512,0,0,22,2,1,3.8197472,-0.0024046085
4346,4347,2222211021,1248,2265,747,12170,0,4690,0,120028,0,0,76575,29,1,5.3165503,-0.34377182
4349,4350,1121011201,2286,2278,1268,343714,4790,0,0,477173,9,0,52251,16,0,3.5949671,6.517284
4351,4352,2222011001,3074,2271,592,26322,41701,6947,15786,525662,17552,10903,37565,28,4,-3.2955577,1.8871789
4357,4358,2222011001,3104,2276,374,24712,24327,0,0,489022,0,410,0,28,4,-4.134388,2.2422335
4358,4359,1121011201,2531,2281,645,57097,1738,0,57,1269608,1,22,0,16,4,-3.625211,2.1995482
4369,4370,2222211021,1315,2316,690,319,4204,795202,0,136587,0,0,343130,29,2,7.1417522,-2.8797429
4377,4378,1121011201,2197,2331,764,99492,11689,0,0,188997,751,0,7831,16,0,3.1407526,3.1975558
4379,4380,2222211021,1395,2335,865,121504,3065,1128787,0,224184,0,0,10079,29,1,3.7899811,-0.55404365
4380,4381,2222211021,1358,2345,1046,1302,535,1131321,0,184069,26,0,83574,29,5,4.660155,-1.928671
4384,4385,2222211021,1314,2344,724,3190,0,185255,4,68053,9,13262,327640,29,2,7.531085,-2.8813581
4390,4391,2222211021,1332,2359,714,0,18,1668847,0,135076,22,0,35516,29,5,4.710465,-2.9208915
4438,4439,1121011201,2046,2410,762,103223,0,0,0,97646,0,0,33212,16,3,3.8916767,2.565308
4459,4460,122211221,3445,2441,943,9864,166,0,29,126882,54934,0,256203,8,2,6.8873143,-1.220375
4489,4490,1102011001,3495,2510,656,73540,574,0,0,163739,0,0,0,12,3,3.7497842,2.3638988
4490,4491,1121011201,2313,2509,565,110414,0,0,0,205852,2660,0,41229,16,0,3.504402,5.0860224
4491,4492,1121011201,2205,2513,702,31713,16,0,0,96980,0,0,13236,16,1,3.9794836,0.18989095
4497,4498,1102011001,3566,2527,712,29546,60,0,0,213880,0,0,183914,12,2,6.848829,-1.5849355
4498,4499,2100212021,1533,2525,860,9395,3171,3430588,0,616238,236,0,95825,20,6,5.827448,-4.9538116
4502,4503,1121011201,2324,2534,595,104473,0,0,0,220398,2476,272,59,16,0,3.727337,4.9347067
4503,4504,1102011001,3522,2536,638,118059,0,0,0,264885,0,0,8237,12,0,3.6448607,4.884658
4504,4505,1102011001,3542,2533,513,19829,0,0,0,156159,1081,0,90121,12,2,5.9605894,-0.72406226
4506,4507,2102212221,1583,2538,767,43606,53,0,0,250526,576,0,489068,21,2,8.2987995,-3.3548172
4508,4509,2100212021,1411,2542,1025,0,11666,2738048,0,450150,26515,6929,0,20,6,5.3074665,-4.5436735
4517,4518,1102011001,3488,2553,573,59234,0,0,0,87155,121,0,0,12,3,3.8576136,2.4187152
4518,4519,1121011201,2136,2559,922,114424,0,0,2,209720,0,0,3,16,3,3.8045776,2.508321
4523,4524,1102011001,3547,2559,530,94467,0,0,0,199062,5754,0,18575,12,0,3.3295388,5.046979
4525,4526,1121011201,2319,2559,579,110757,13,0,0,206296,9586,0,6900,16,0,3.1026092,5.279515
4528,4529,1102011001,3524,2566,348,61287,0,0,0,128403,7940,0,16323,12,0,3.063791,5.223768
4530,4531,2100212021,1549,2568,347,2726,0,504311,0,161871,0,0,76567,20,5,5.284582,-2.4359207
4533,4534,2100212021,1448,2586,1546,145,43638,6698214,5,700795,340742,13,386,20,6,5.0612826,-4.8997965
4539,4540,2102212221,1537,2584,610,1154,0,7335,0,187265,1658,0,281221,21,2,7.663793,-2.938331
4556,4557,1121011201,2211,2611,909,49949,185,0,0,172875,225,0,71805,16,1,4.735078,-0.062349904
4558,4559,1121011201,2335,2614,622,48297,5,0,30,97938,655,30,0,16,1,3.47163,1.4707382
4562,4563,1121011201,2307,2624,678,95202,6,0,0,191614,2423,0,60,16,0,3.7033365,3.4285975
4565,4566,2100212021,1452,2636,1113,557,84884,6048534,559,672368,30927,132,108499,20,6,5.6443567,-5.195783
4568,4569,2100212021,1501,2630,460,0,255,1542018,0,446714,14796,169,0,20,6,5.3471465,-4.8377676
4582,4583,2100212021,1518,2661,624,0,337,1803476,0,521555,27135,30,0,20,6,5.2241125,-4.6159606
4585,4586,20212221,2184,2666,667,35266,2,531,0,298679,4783,0,0,1,1,2.5928855,1.3102008
4593,4594,2100212021,1473,2681,574,0,9824,3185351,0,400496,11863,775,83,20,6,5.6581964,-5.1889286
4595,4596,2100212021,1508,2678,230,0,5764,1009386,0,197880,39216,0,0,20,6,5.1211486,-4.898791
4596,4597,2100212021,1440,2693,1544,3043,12449,12375283,0,1152406,15180,1945,261,20,6,5.7115664,-5.242986
4597,4598,20212221,2198,2685,491,27888,0,226772,0,427110,2545,0,0,1,4,0.76557136,0.8747424
4600,4601,2100212021,1502,2691,386,0,32,1541944,0,232958,50915,0,1,20,6,5.1985145,-4.8746724
4605,4606,1111211111,2099,2702,639,35121,8,1002058,0,474666,7816,0,68,15,5,4.3078504,-2.1903827
4606,4607,2100212021,1483,2700,319,44,14,1677319,0,271451,10145,232,0,20,6,5.655742,-5.1628737
4612,4613,2100212021,1465,2723,889,0,1338,2589198,0,477590,719,0,0,20,6,5.377254,-4.263838
4613,4614,2100212021,1500,2715,313,0,90,684735,0,205366,18194,0,0,20,6,5.187171,-4.6095195
4618,4619,20212221,2353,2732,936,217897,2746,0,9,483281,9182,0,64,1,0,3.4118426,5.909979
4632,4633,20212221,2371,2759,670,22923,3855,0,6,183529,7053,45,235,1,1,2.7793772,1.182749
4634,4635,1111211111,2157,2761,578,68278,261,1969263,0,1434582,4728,155,231269,15,5,5.386182,-2.7217412
4664,4665,100212021,3496,2807,417,42171,0,0,0,204923,480,0,54882,4,1,4.9445653,-0.090199515
4669,4670,2102212221,2003,2816,815,16008,2829,610303,864,188552,983,1375,2120,21,5,4.347314,-1.5743088
4674,4675,100212021,3518,2824,625,50111,0,0,0,110732,3427,0,0,4,1,3.4287944,1.6607068
4695,4696,100212021,3512,2852,646,32388,0,0,0,157734,275,0,50,4,1,3.642111,0.4246197
4709,4710,100212021,3489,2859,604,51437,0,0,0,333887,4886,0,16746,4,1,2.434551,1.8504997
4723,4724,2102212221,1936,2872,700,71,0,1541174,0,458129,94,0,316393,21,2,6.1863127,-2.6553068
4724,4725,2102212221,1791,2870,664,139599,172,291048,0,306895,3979,7885,401501,21,2,7.7382283,-2.550197
4731,4732,2102212221,1829,2868,351,5523,5387,78708,0,157163,1523,9545,371788,21,2,8.564032,-3.5754051
4741,4742,2102212221,1876,2882,424,1933,548,1316905,0,342229,413,111,141653,21,5,5.374469,-2.7534196
4744,4745,2102212221,1955,2883,295,3,43,599777,0,162776,2281,0,111655,21,2,5.970222,-2.620725
4753,4754,100212021,3374,2897,826,57703,440,0,0,377805,0,0,37162,4,1,2.5149732,0.9905273
4754,4755,2102212221,1923,2897,535,74,3931,783383,0,231569,0,0,92891,21,5,5.2658315,-2.452188
4756,4757,2102212221,1762,2895,723,4097,10980,2446787,0,378445,2852,2507,10695,21,6,5.5799294,-4.5490723
