,cell_id,Barcode,ChAT,fru,Gad1,SerT,sNPF,tbh,Ple,VGlut,x,y,umap_1,umap_2,clust_label,clone_id
108,347,122011221,38008,11374,0,47,702495,1184,0,465,568.11,1503.3,0.1506137,-3.0179057,4,20
110,353,122011221,10610,13,4,149,377951,230,0,2190,574.62,1461.7,3.034995,-0.31386343,2,20
111,354,122011221,53155,331,51,247,690760,1314,100,21235,577.08,1429.0,0.7553189,-2.04042,4,20
112,356,122011221,51408,9199,0,305,376191,1329,0,953,577.38,1537.6,1.0589908,-0.890921,4,20
113,361,122212201,10607,14788,1952155,385,324928,771,1691,671,581.66,1059.8,4.714464,-4.9430685,5,16
114,366,122011221,99310,17297,147,88,909292,982,37,10739,586.71,1394.4,-1.1171774,-3.4060311,4,20
115,367,122011221,14660,134,12,159,615246,465,13942,2218,589.1,1471.7,1.7143427,-2.3292904,4,20
116,368,122011221,42775,713,0,7,683568,506,49,331,588.24,1512.3,0.7905306,-2.1333988,4,20
117,370,122011221,16208,275,0,46,365545,419,5223,45,589.83,1489.5,3.0161614,-0.1775356,2,20
118,379,122212201,6369,1827,1937442,401,339838,614,991,94,599.58,1039.2,4.74696,-4.8987913,5,16
119,380,122011221,30988,1250,0,303,840479,1152,79,58867,604.1,1441.1,0.38718507,-3.230951,4,20
120,382,122011221,29079,3742,74,64,795887,1957,0,55314,603.08,1375.6,0.4625581,-3.1632037,4,20
122,387,122011221,58296,20615,0,1,424769,249,0,1299,598.82,1537.3,0.8580617,-1.590894,4,20
124,390,122011221,27031,242,0,188,568946,480,12301,34707,610.71,1464.2,1.9596679,-2.1967657,4,20
125,391,122011221,6357,244,0,76,380035,676,1502,86,607.22,1498.6,3.1417542,-0.25859407,2,20
127,399,122011221,7186,81,8,205,297832,190,59837,513,614.28,1482.2,3.2929451,0.07667054,2,20
128,400,122011221,5132,949,0,1817,410644,295,0,112,611.64,1514.8,3.0543087,-0.47951445,2,20
129,401,122011221,56905,11849,0,0,490430,257,35,10341,616.88,1549.6,0.9001227,-1.434345,4,20
130,402,122011221,63737,149,0,745,904864,705,0,27440,620.78,1394.5,-0.28131896,-3.4073863,4,20
131,403,122011221,23951,8146,45,1107,608491,2098,268,189763,620.15,1575.9,8.454464,-3.3345222,0,20
133,407,122212201,7112,4913,2293234,144,437791,2092,840,3220,620.5,1077.1,4.510486,-5.197864,5,16
134,409,122011221,19197,1382,0,3077,394929,17,0,838,618.89,1530.5,2.8051426,-0.24968317,2,20
136,412,122011221,28820,2547,82,190,695644,968,0,50610,626.69,1362.7,0.9952492,-2.8879333,4,20
137,414,122011221,13164,138,59,251,563768,719,149,27168,623.65,1419.9,1.880178,-2.2994528,4,20
139,423,122011221,21780,3333,0,79,637291,236,2422,459,626.43,1496.9,1.326161,-2.4852798,4,20
140,426,122011221,68696,16864,152,448,1451534,669,65,38981,642.82,1451.3,-3.1582253,-2.5370357,3,20
142,431,122011221,7236,2709,0,0,310765,45,14158,1178,633.56,1474.2,3.1929002,-0.099124014,2,20
143,432,122011221,55235,860,0,261,569767,875,0,288,635.78,1517.8,0.90828854,-1.3264174,4,20
144,434,2010011221,204917,4,78,78,141317,121,0,357,641.93,87.711,-1.5583601,2.1007931,1,2
147,439,122011221,58461,1057,11,1,725749,288,0,5929,643.33,1379.7,0.72111136,-2.064637,4,20
148,442,122011221,53017,5482,36,87,1090817,986,526,11725,646.71,1411.4,-1.419607,-3.5036254,4,20
149,444,122212201,8015,4395,2984748,275,576945,2711,3613,4694,650.82,1074.3,4.309821,-5.357467,5,16
150,446,122011221,74956,45223,106,402,546341,360,3,26343,650.96,1544.1,-0.9445485,-3.6291118,4,20
151,447,122212201,4489,4656,2161777,419,372827,611,755,485,652.45,1035.7,4.629134,-5.0729527,5,16
152,449,122011221,33255,601,0,144,788620,526,21,316,649.45,1492.6,0.4945811,-2.8325164,4,20
153,451,122212201,11256,1042,2551731,2162,527670,8154,2033,606,657.43,1002.9,4.3760824,-5.3255816,5,16
154,453,122011221,17700,559,112,51,470955,192,0,32959,654.75,1355.7,2.9506333,-0.6441283,2,20
155,456,122011221,8351,4562,2411,85,191820,162,541,181626,652.0,1151.1,9.119025,-3.5890908,0,20
156,460,122011221,32478,4730,0,3,256268,261,0,173,654.91,1513.4,2.6197228,0.5346313,2,20
157,463,122011221,9511,9869,0,184,511741,438,491,68464,660.53,1618.1,1.7869216,-2.4592953,4,20
159,467,122011221,37704,1951,363,60,795711,725,0,4133,665.08,1387.7,0.2427419,-3.0964634,4,20
160,469,122011221,63509,32972,380,148,672399,1178,351,1169,669.08,1529.2,-1.00112,-3.6017613,4,20
162,478,122011221,70953,5472,57,932,737996,466,448391,68923,677.36,1337.9,1.2242509,-2.2553017,4,20
163,479,122011221,59859,1598,96,52,426474,229,2343,448,673.35,1503.0,1.061675,-0.6775153,4,20
165,481,122212201,3894,1409,821648,70,227979,145,151,15616,671.08,1088.9,5.1988816,-3.1398702,6,16
166,487,122011221,60616,15977,355,465,689891,273,6276,53432,679.06,1364.3,-0.08370736,-3.3388104,4,20
167,488,122011221,41686,432,0,26,743832,401,0,33790,678.57,1423.9,0.75844365,-2.7694702,4,20
168,489,122212201,8268,235,2053099,103,323007,521,288,110,675.99,978.19,4.8073816,-4.980908,5,16
169,490,122011221,11965,802,0,0,227575,16,0,26,671.91,1405.8,3.1675847,0.9410974,2,20
170,493,122212201,7679,8389,3778045,390,886363,967,678,568,681.76,1030.2,4.2328906,-5.3910904,5,16
171,495,122011221,74950,72322,188,624,1184768,960,38096,78538,684.91,1299.8,-3.987836,-2.247189,3,20
172,496,122011221,48343,102,0,136,911835,676,0,36639,680.73,1454.5,-0.045555938,-3.2867277,4,20
173,498,122212201,5028,179,1977592,255,414634,3896,1658,10678,682.93,1079.4,4.79799,-4.8971114,5,16
174,500,122212201,5270,264,2742030,319,530116,1490,1175,338,686.46,997.12,4.2420917,-5.415337,5,16
175,502,122011221,37180,8620,0,187,474388,564,0,988,688.04,1570.7,1.0985676,-1.4934807,4,20
176,505,122011221,16671,53481,0,8,892351,721,1579,24870,687.01,1618.7,-2.5199525,-2.9574077,4,20
177,506,122212201,4767,654,1478601,169,314765,8388,200,866,692.39,1058.9,4.807835,-4.525429,5,16
178,507,122011221,84585,55008,22,172,1040405,2260,45,17591,691.38,1593.6,-3.308581,-2.332402,3,20
179,508,122011221,33330,56172,36,154,696451,98,1037,1214,692.77,1378.5,-2.0909195,-3.160825,4,20
181,511,122011221,5615,393,186,40,427605,213,1178,3433,693.43,1403.8,3.065089,-0.4423809,2,20
182,512,122011221,46067,4550,124,3411,713609,1413,96,235,695.24,1484.2,0.58954024,-2.3450644,4,20
183,513,122011221,78457,633,0,149575,330004,337,54565,7974,694.42,1514.6,-2.030996,3.0045757,1,20
184,514,122212201,27661,238,3433516,704,712135,597,1860,2411,701.94,966.99,4.2505817,-5.398239,5,16
185,516,122011221,38092,37888,120,13122,608484,637,224,1438,700.78,1536.3,-0.66768247,-3.509009,4,20
188,519,122212201,45040,14,651828,187,223864,599,197,41699,701.64,1073.7,5.214908,-2.9750106,6,16
189,520,122011221,54048,37585,2,292,734604,298,32,583,705.72,1557.6,-1.4777787,-3.4737594,4,20
191,526,2120212020,25655,2897,3666,947,787263,1599,3573117,5684,712.88,1338.0,1.5067682,-2.0823073,4,15
192,527,122011221,19074,2773,26,87,889598,470,1952,505,712.94,1450.9,0.17684656,-3.193169,4,20
193,529,122212201,24813,1203,3007533,286,712722,1419,492,2241,714.86,1035.1,4.266334,-5.398464,5,16
194,530,122011221,15236,69281,0,188,1374672,167,101,33822,709.28,1614.5,-4.3508205,-2.2275646,3,20
196,532,122212201,1342,13,1008153,27,189785,281,272,265,706.84,1012.3,5.096368,-3.2689705,6,16
197,534,122011221,9518,2821,0,112,510092,203,7252,66,708.99,1388.9,1.9704756,-2.198369,4,20
198,536,122011221,47720,77121,0,83,813316,1139,71,815,711.29,1581.3,-3.2875843,-2.4581587,3,20
200,539,2120212020,10270,331,1131,590,581121,750,2698599,21555,722.02,1292.0,1.5709202,-2.1071892,4,15
201,540,122011221,80179,7359,0,129281,618148,941,89801,2623,719.25,1491.6,-1.9697272,2.9215207,1,20
202,542,122212201,27210,301,2124001,964,523395,1174,716,836,722.09,1000.3,4.558206,-5.11459,5,16
203,544,122011221,36787,21209,0,171,509783,467,7679,28785,721.25,1366.8,0.84227645,-2.7423449,4,20
204,545,122011221,31465,2138,0,248506,422750,1764,129649,9570,722.07,1519.4,-2.036006,3.0236137,1,20
205,546,122011221,6188,65758,0,17,720977,508,168,9198,723.69,1653.5,-2.440024,-3.0450935,4,20
209,555,122011221,25052,194,137,92,724645,646,53431,62,727.56,1393.4,1.1998061,-2.3721147,4,20
210,557,122212201,76147,176,1653975,259,444757,701,281,5758,732.36,957.7,4.720549,-4.5015454,5,16
211,558,122212201,108604,289,1639109,465,574193,1043,171,2210,732.22,979.83,4.630841,-4.3641486,5,16
212,560,122011221,48426,83767,0,497,729620,244,19,298,729.58,1546.7,-3.2162857,-2.483478,3,20
214,563,122011221,134517,68673,15,104,1219883,721,0,1572,737.84,1569.7,-3.8088727,-1.7319804,3,20
215,564,122011221,89366,68591,16,83,1587870,1715,72,18920,734.91,1611.1,-4.534461,-1.9743952,3,20
218,578,122011221,7351,66,0,67,281405,70,691,159,743.25,1415.2,3.2615967,0.586165,2,20
219,582,122011221,49593,53077,377,6238,1138120,1066,1749,267,745.83,1491.0,-3.4070494,-2.577633,3,20
221,584,122011221,126030,62210,0,187,1099852,551,0,1366,749.64,1595.6,-3.504915,-1.5402913,3,20
222,585,122011221,67298,97618,0,92,1040964,457,144,19623,750.2,1642.9,-4.227547,-2.1358933,3,20
225,590,122011221,18474,211,0,87,224562,158,0,1666,743.03,1375.4,3.1616151,1.0262678,2,20
226,592,122011221,21888,43740,0,799,990096,1196,210,257,750.22,1528.0,-2.5513039,-2.8909461,4,20
227,593,2120212020,165998,13112,249227,315,711309,1258,491,1306,751.56,1001.4,-1.1725842,0.32636094,1,15
228,597,122212201,103800,308,1046458,1345,367397,2409,253,64871,754.4,945.35,5.045041,-2.9885097,6,16
231,608,202012000,28835,311,0,102,466591,6318,0,171327,765.09,1678.0,8.576618,-3.4508572,0,8
232,610,122011221,27952,108888,101,191,926888,367,0,4768,763.17,1620.0,-4.324532,-2.2004952,3,20
233,613,122011221,99009,589,0,212,377783,420,0,0,765.05,1505.4,0.28008026,1.3265232,1,20
234,615,2120212020,169105,1742,21142,1620,530077,17418,4648,3504,770.74,1047.8,-1.4717529,1.0366836,1,15
235,622,122212201,34765,2624,1012688,3288,676061,25974,523,412099,774.73,910.08,6.008462,-3.1182103,7,16
236,624,122011221,62195,47084,28,55,1151661,192,0,2029,776.34,1560.4,-3.2475145,-2.5180678,3,20
239,629,122011221,32193,51815,0,89,671414,780,177,46,774.29,1533.2,-1.7655224,-3.3279786,4,20
240,637,2120212020,134651,344,14546,212,416491,917,6256,770,788.36,1078.7,-0.52358335,1.3586727,1,15
241,639,202012000,4,139,0,14,327713,19522,0,449163,788.85,1714.4,9.923281,-1.7637473,0,8
242,643,122212201,72089,116,218,1191,152907,1420,0,14264,790.72,811.38,1.762796,1.6043535,1,16
243,647,122212201,131988,78,277163,750,1789716,899,1414,2614,789.39,968.88,-3.5488536,-2.0147278,3,16
244,648,2120212020,209076,35269,23586,731,508360,4408,0,908,800.18,1030.4,-1.9412084,0.61170167,1,15
245,650,122011221,30536,9858,0,1900,225413,1368,0,1300,790.58,1518.5,2.5575728,0.4265833,2,20
247,662,122011221,67496,59672,58,319,599059,349,332,4723,800.66,1131.3,-1.8729421,-3.2608423,4,20
248,669,122011221,37859,33146,0,284,1006217,262,154,246,804.74,1530.8,-2.3792117,-3.017494,4,20
250,675,202012000,21040,3337,0,1765,485374,47090,0,259882,811.36,1691.4,9.040957,-2.4398246,0,8
252,687,2000001000,226,23997,35,1307,362440,7584,0,844417,820.23,1736.6,10.506473,-1.7604519,0,4
254,692,2120212020,177242,112764,11248,231,477842,439,0,254,823.61,993.15,-3.3737924,-1.1108902,3,15
255,694,2120212020,207449,174630,6890,139,512108,8009,0,435,826.53,1018.5,-4.746273,-1.4273336,3,15
257,708,202012000,10579,759,0,122,430148,18511,0,81140,833.58,1671.2,8.233098,-3.5914576,0,8
259,712,202012000,36265,1764,0,218,511492,959,0,492697,839.86,1710.1,10.016254,-1.6650009,0,8
260,722,122011221,130993,48733,1574,253,1046550,806,0,997,845.46,1103.3,-3.3490727,-1.3466148,3,20
262,746,202012000,18954,49,0,3,244116,2232,0,183210,857.81,1693.8,9.093641,-3.5103548,0,8
263,760,2010011221,81545,7,0,48,127334,1276,0,14231,866.94,23.78,1.5833038,1.6219411,1,2
265,774,202012000,20241,1228,0,38,489148,18627,0,260536,874.89,1736.0,9.155688,-2.5263927,0,8
266,784,202012000,16976,2722,0,246,287509,276,0,132673,879.01,1691.3,8.632696,-3.8595936,0,8
269,806,2000001000,1964,58243,0,75,428351,51871,0,959319,891.4,1873.5,10.436912,-1.7020397,0,4
271,817,22211201,57437,49251,0,0,722591,36,0,817,896.52,1679.3,-1.8253335,-3.3381143,4,17
275,856,2001212001,108389,27171,46798,905,375706,10643,0,924,917.91,821.03,-0.9242978,0.4924799,1,12
280,872,2001212001,54574,195,595248,693,323333,5393,99,956,925.97,849.48,5.1262884,-2.918069,6,12
281,873,2120212020,165925,858,9171,324,319125,5356,0,451,919.6,986.46,-1.102644,1.9154065,1,15
288,909,122011221,226706,13150,807,99,1718098,23270,475,292,950.59,1063.5,-3.6725338,-1.0905263,3,20
289,914,22211201,34180,98161,144,94,1201818,111,0,62,941.19,1693.8,-4.434475,-2.16485,3,17
293,926,22211201,69977,87730,0,13,1623407,764,11,352,952.76,1674.2,-4.961336,-1.9537047,3,17
296,941,22211201,101724,39750,0,1194,890805,373,0,26001,957.62,1759.2,-2.0520492,-3.098296,4,17
297,949,22211201,37453,181459,0,106,1823674,301,26,54,963.53,1730.2,-5.379421,-1.7961609,3,17
298,952,2110111111,23771,10,0,1,309957,6555,0,213761,966.07,1956.2,8.998787,-3.2586937,0,13
300,954,22211201,36179,70475,0,110,950292,4386,0,196,964.42,1701.7,-3.3147345,-2.5713162,3,17
303,959,122212201,45781,113,8860,130,208026,7112,13,47111,971.05,608.99,2.3470244,1.1673255,2,16
304,960,22211201,54801,110945,0,11,1335724,160,0,19,972.65,1609.0,-4.8481774,-1.9947051,3,17
305,964,2001212001,288961,32260,4175,446,425801,12155,0,58010,976.16,758.67,-3.1007037,1.6375928,1,12
306,965,2001212001,148237,13827,106943,196,380066,1757,13,1418,972.64,851.11,-0.82481617,0.99956757,1,12
308,981,22211201,72370,131625,0,63,1394428,1075,0,199,982.38,1684.2,-5.10168,-1.8962859,3,17
309,983,22211201,33595,30427,0,32,393937,91,0,25,978.8,1741.8,0.8779549,-2.4031103,4,17
310,984,22211201,49877,48655,6870,84,1335645,153,0,34026,984.91,1767.5,-3.67197,-2.3350368,3,17
313,991,22211201,107518,130489,0,102,1630937,174,312,1978,992.76,1717.5,-5.273524,-1.727752,3,17
314,992,2110111111,4749,1893,0,63,567614,511,0,2004658,998.82,1921.3,10.459504,-1.6811979,0,13
317,997,22211201,133661,91848,74,752,1547852,1081,3,277,996.72,1557.2,-4.846167,-1.7987002,3,17
318,1004,2001212001,56071,3266,318792,169,218122,163,0,163,994.01,879.58,2.673609,0.8988876,2,12
321,1011,2001212001,353624,147865,644,431,471591,2014,0,4259,1000.6,804.23,-3.4954066,-0.30764642,1,12
323,1015,22211201,27418,62986,0,28,1055091,303,0,970,1000.4,1746.1,-3.386912,-2.53478,3,17
324,1016,22211201,32978,39969,0,120,1057398,208,0,43,998.41,1655.0,-2.5590389,-2.916857,4,17
327,1022,22211201,140775,154401,9,75,1494398,116,0,280,1006.5,1689.4,-5.160072,-1.7694798,3,17
329,1028,2001212001,37806,15,249015,273,203018,50,0,240,1008.8,855.4,2.8477025,0.9381851,2,12
330,1029,22211201,112712,72866,0,346,2151886,356,85,405,1018.3,1600.9,-5.166038,-1.8455735,3,17
333,1039,2001212001,263420,267401,989,540,513087,527,48,64838,1019.9,721.19,-5.221061,-1.6917384,3,12
335,1050,22211201,56633,101724,1,264,1402210,299,21,109,1021.0,1640.1,-4.835232,-1.9724112,3,17
336,1052,2001212001,275099,21976,1117,385,384517,8784,0,136,1023.7,787.46,-2.938533,1.7260967,1,12
337,1055,22211201,95896,103475,97,74,1602001,34,0,11448,1026.8,1673.3,-5.037673,-1.8503244,3,17
341,1067,2001212001,497178,128689,1769,354,617368,1860,0,707,1028.2,819.75,-3.453963,0.11215133,1,12
346,1082,2111111111,712,13,0,0,96175,179,0,173038,1041.0,37.338,9.087169,-3.6433582,0,5
349,1087,120001000,259949,871,305457,333,404661,16787,68,62,1042.0,855.48,-2.6019602,1.8231151,1,7
352,1091,22211201,42430,56545,0,0,489414,160,0,121,1040.5,1636.9,-1.5584717,-3.4693582,4,17
353,1097,2001212001,141072,626,93,847,477636,5092,0,1116,1052.4,731.91,-0.86688733,1.1022563,1,12
354,1102,22211201,4953,13229,175,197,299943,108,0,86,1052.4,1534.7,2.9674103,-0.50933665,2,17
355,1103,22211201,45329,56472,0,25,568377,46,26,4,1047.8,1598.8,-1.6207871,-3.4089618,4,17
356,1104,22211201,53447,93421,0,74,1254152,258,0,406,1055.7,1624.7,-4.4415493,-2.098025,3,17
367,1123,120001000,160830,847,255252,176,249624,4179,0,689,1057.9,863.32,-0.3550674,2.027557,1,7
368,1124,22211201,67123,64990,0,0,702229,78,3,0,1063.0,1606.9,-2.1388917,-3.0832224,4,17
371,1131,2001212001,174220,9817,6,111,1282731,4428,0,48,1068.7,757.58,-3.190541,-0.9442856,3,12
373,1135,22211201,113393,174178,38,136,1812331,758,64,207,1074.9,1563.3,-5.3839645,-1.7557733,3,17
375,1142,22211201,44543,64280,0,248,1458220,214,0,12,1074.8,1587.9,-4.365618,-2.150292,3,17
378,1147,22211201,11474,20666,0,110,454065,460,0,6476,1073.4,1645.4,1.4115409,-2.6217136,4,17
379,1151,2001212001,258461,15186,404,55,503384,690,121,223,1077.2,787.82,-2.762776,1.8369501,1,12
382,1157,22211201,37607,18854,107,343,487891,546,0,240,1079.9,1540.9,0.82927907,-2.3138883,4,17
384,1167,2212211101,79795,3469,2830,61,354814,68,0,152779,1089.7,1819.9,8.1326885,-3.1303182,0,18
385,1169,22211201,10304,42539,0,317,599895,412,0,141,1081.2,1606.5,-1.3890082,-3.2570102,4,17
387,1183,2001212001,223176,94766,217,236,297948,411,89,727,1096.8,742.45,-3.135649,-0.5345506,1,12
389,1192,22211201,68585,65776,0,210,1355051,600,17,57,1103.0,1531.5,-4.1183567,-2.114126,3,17
390,1195,2001212001,202092,15668,468,26,265884,823,0,4,1097.7,762.36,-1.9006362,1.883979,1,12
391,1198,120001000,126128,68,275,0,208390,1765,0,90,1095.3,843.95,0.08397771,1.9367684,1,7
392,1199,22211201,63080,54721,0,28,375706,31,0,7506,1093.4,1616.6,-0.95436627,-3.594719,4,17
393,1200,2212211101,111261,4434,1135,9,363035,435,71,95,1103.3,1850.9,0.10848031,1.2923348,1,18
395,1205,2001212001,345354,12931,749,78,762340,619,143,35,1102.3,792.07,-3.214849,1.4258562,1,12
396,1206,22211201,177329,21417,90,204,1045812,1831,0,170,1102.0,1586.0,-3.113301,-0.7896063,3,17
398,1212,22211201,65067,75738,17,386,1237299,644,0,188,1109.9,1557.0,-4.094931,-2.0965135,3,17
400,1216,120001000,145623,9772,22119,504,381027,290,51,198,1108.0,875.56,-0.8264991,1.214794,1,7
405,1228,22211201,37021,36608,61,120,807656,57,0,23323,1111.5,1611.3,-1.6459857,-3.403007,4,17
408,1231,120001000,235311,284,81,480,466265,500,0,566,1114.7,821.01,-2.347291,2.0024168,1,7
411,1239,22211201,17519,2821,0,70,231344,185,0,15,1119.8,1514.5,3.1054828,0.87885416,2,17
417,1256,22211201,68866,107079,0,143,806197,391,0,217,1129.8,1595.9,-4.0500417,-2.113456,3,17
418,1257,1101111121,28263,11446,0,105,732464,879,0,23070,1130.3,1763.2,0.2965694,-3.1685197,4,10
424,1272,22211201,2068,957,0,64,200928,160,0,69,1137.4,1502.5,3.227087,0.8542967,2,17
429,1285,120001000,197793,1267,456,176,577321,6341,0,162,1141.0,897.36,-1.6963944,1.3031143,1,7
431,1289,22211201,17990,67,0,0,213325,4,0,14,1139.8,1523.1,3.0716927,1.039105,2,17
434,1296,2001212001,181615,95,335,26,235681,66,0,29,1142.4,765.84,-1.2768462,2.0765352,1,12
435,1305,22211201,35429,1929,0,205,345315,400,0,4,1153.4,1537.9,2.6057053,0.23703308,2,17
436,1306,1101111121,124131,0,0,170,443129,5168,0,1260,1154.6,1804.9,-0.4851499,1.1632184,1,10
438,1310,2001212001,325245,31755,172,229,422714,17427,0,12384,1156.6,690.66,-3.330642,1.4833498,1,12
447,1339,1101111121,36280,238,6722,1230,262797,41,0,1702,1163.7,1917.5,2.6531372,0.86687773,2,10
450,1347,2001212001,166484,26337,315,10,1135517,4780,42,84,1168.6,716.31,-3.2019808,-1.0079846,3,12
451,1361,2212211101,77585,78,0,529,438719,259889,0,584,1178.4,1723.8,-2.749379,1.0402533,1,18
457,1384,22211201,125632,20159,0,1134,631379,521,0,336,1188.9,1435.1,-1.1488868,0.2835395,1,17
464,1403,1101111121,73510,694,0,132,513513,696,0,101,1193.5,1856.2,0.79440844,-0.919843,4,10
465,1406,2212211101,21206,89,134536,343,340587,214,0,10847,1195.1,1785.4,3.1162894,-0.0234047,2,18
469,1420,2212211101,280842,9435,112,205,1049974,6620,0,1309,1199.4,1655.3,-3.1137633,0.14675535,1,18
471,1433,2212211101,258878,5051,596,469,1148654,523,0,4218,1206.3,1624.6,-3.0251818,-0.17097284,1,18
472,1434,1101111121,134075,1659,64309,23,250162,76,0,46,1203.9,1939.2,-0.06749226,1.9018873,1,10
473,1435,22211201,113442,73,699,68,304057,938,0,1367,1200.8,1108.0,0.17946237,1.6653178,1,17
479,1455,2212211101,212054,19,0,152,2219582,13927,217,25809,1217.1,1682.4,-4.1160436,-1.4886347,3,18
484,1473,2212211101,179609,11835,0,191,370870,226,0,103,1221.5,1568.8,-1.350969,1.4145476,1,18
